File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2010-14-0092.ctd,UTC,27/08/2010, 08:35,92,50.00033,-144.99916000000002,P26,3.2,13.5665,32.5953,24.444000000000003,51.4,5.81,253.4,2.637,
2010-14-0097.ctd,UTC,27/08/2010, 16:59,97,49.99967,-144.99983,P26,3.2,13.5335,32.5886,24.4455,51.1,5.81,253.4,2.065,
2010-14-0084.ctd,UTC,26/08/2010, 22:12,84,50.000170000000004,-145.0,P26,3.3,13.5664,32.6023,24.4495,51.2,5.85,254.8,2.016,54.7
2010-14-0093.ctd,UTC,27/08/2010, 10:26,93,50.00067,-145.00034,P26,3.3,13.5774,32.6028,24.4476,51.5,5.82,253.5,2.568,
2010-14-0088.ctd,UTC,27/08/2010, 03:36,88,50.00083,-144.99899,P26,3.4,13.5811,32.5949,24.4408,50.7,5.83,254.0,2.1830000000000003,
2010-14-0101.ctd,UTC,27/08/2010, 21:30,101,49.9985,-144.99451000000002,P26,3.4,13.6106,32.5927,24.4331,50.7,5.82,253.5,0.813,156.4
2010-14-0101.ctd,UTC,27/08/2010, 21:30,101,49.9985,-144.99451000000002,P26,3.9,13.6106,32.5928,24.4332,50.8,5.8,253.0,0.9159999999999999,147.8
2010-14-0084.ctd,UTC,26/08/2010, 22:12,84,50.000170000000004,-145.0,P26,4.0,13.5667,32.6036,24.4504,51.2,5.83,254.2,2.02,46.5
2010-14-0088.ctd,UTC,27/08/2010, 03:36,88,50.00083,-144.99899,P26,4.0,13.5824,32.5949,24.4405,50.7,5.84,254.7,2.242,
2010-14-0092.ctd,UTC,27/08/2010, 08:35,92,50.00033,-144.99916000000002,P26,4.0,13.5667,32.5955,24.4441,51.4,5.81,253.4,2.6519999999999997,
2010-14-0093.ctd,UTC,27/08/2010, 10:26,93,50.00067,-145.00034,P26,4.0,13.5765,32.6036,24.4484,51.5,5.8,252.7,2.5860000000000003,
2010-14-0097.ctd,UTC,27/08/2010, 16:59,97,49.99967,-144.99983,P26,4.0,13.5339,32.5885,24.4453,51.1,5.8,252.8,2.095,
2010-14-0090.ctd,UTC,27/08/2010, 05:31,90,50.00083,-144.99966,P26,4.1,13.5628,32.5977,24.4466,51.1,5.8,252.9,2.5669999999999997,
2010-14-0086.ctd,UTC,26/08/2010, 23:30,86,50.001670000000004,-144.99933000000001,P26,4.3,13.5833,32.5934,24.4392,51.0,5.82,253.7,1.465,
2010-14-0092.ctd,UTC,27/08/2010, 08:35,92,50.00033,-144.99916000000002,P26,4.9,13.5671,32.5952,24.4438,51.3,5.79,252.3,2.6210000000000004,
2010-14-0084.ctd,UTC,26/08/2010, 22:12,84,50.000170000000004,-145.0,P26,5.0,13.5673,32.6077,24.4534,51.1,5.82,253.7,2.033,39.9
2010-14-0088.ctd,UTC,27/08/2010, 03:36,88,50.00083,-144.99899,P26,5.0,13.5842,32.5951,24.4403,50.7,5.86,255.2,2.225,
2010-14-0090.ctd,UTC,27/08/2010, 05:31,90,50.00083,-144.99966,P26,5.0,13.5628,32.5977,24.4466,51.0,5.81,253.1,2.56,
2010-14-0093.ctd,UTC,27/08/2010, 10:26,93,50.00067,-145.00034,P26,5.0,13.5765,32.6039,24.4487,51.5,5.81,253.1,2.6039999999999996,
2010-14-0097.ctd,UTC,27/08/2010, 16:59,97,49.99967,-144.99983,P26,5.0,13.5335,32.5883,24.4453,51.1,5.82,253.4,2.13,
