File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,2.2,12.2659,31.7522,24.0445,28.5,6.76,294.8,4.9639999999999995,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,3.1,12.2661,31.7522,24.0444,28.0,6.76,294.6,4.8580000000000005,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,3.9,12.1828,31.7755,24.0781,28.0,6.91,301.0,6.671,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,4.9,11.3773,31.9847,24.3877,19.4,7.46,325.3,13.017000000000001,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,6.2,10.9005,32.0767,24.5434,19.2,6.95,302.9,10.879000000000001,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,7.0,10.7047,32.1182,24.6096,21.3,6.53,284.5,7.749,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,8.0,10.4759,32.1677,24.6874,33.4,6.09,265.2,5.909,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,9.0,10.2634,32.2585,24.794,38.8,5.7,248.2,4.022,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,10.0,9.9208,32.3684,24.9368,45.0,5.27,229.4,2.72,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,11.1,9.8199,32.3792,24.9618,48.6,4.96,216.0,1.827,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,12.0,9.7861,32.3864,24.9729,50.2,4.87,211.9,1.641,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,13.0,9.713,32.4024,24.9973,51.6,4.8,209.1,1.433,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,14.0,9.6035,32.4335,25.0394,53.0,4.76,207.2,1.268,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,15.0,9.5156,32.4715,25.0832,54.7,4.73,205.8,1.025,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,16.0,9.2923,32.5536,25.183000000000003,55.7,4.68,204.0,0.866,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,17.0,9.101,32.6279,25.2713,56.6,4.62,201.0,0.79,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,18.0,8.9224,32.7004,25.3558,57.2,4.5,196.1,0.688,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,19.0,8.7282,32.7895,25.4555,58.4,4.36,189.9,0.5489999999999999,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,20.0,8.6405,32.8449,25.5123,59.2,4.21,183.4,0.47,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,21.0,8.5995,32.8724,25.54,59.5,4.09,178.3,0.41600000000000004,0.0
2017-08-0011.ctd,UTC,17-08-17, 10:42,11,48.57567,-125.50233,P1,Mid-ship,22.0,8.5814,32.8938,25.5596,59.5,4.01,174.6,0.377,0.0
