File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,1.1,13.3659,31.996,24.0209,23.0,6.71,292.7,3.326,1.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,2.0,13.369000000000002,31.9977,24.0216,23.1,6.72,293.2,3.3110000000000004,0.9
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,3.0,13.3713,31.9991,24.0222,23.0,6.76,294.5,3.306,0.8
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,3.9,13.3736,32.0015,24.0236,22.8,6.77,295.1,3.3,0.7
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,5.1,13.3881,32.0173,24.0329,22.9,6.79,295.8,3.322,0.6
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,6.4,13.3941,32.0266,24.0389,22.9,6.83,297.7,3.298,0.6
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,7.0,13.3922,32.0239,24.0372,22.9,6.88,300.1,3.266,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,8.0,13.4055,32.052,24.0563,22.9,6.93,302.3,3.2560000000000002,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,9.1,13.4169,32.0949,24.0872,23.2,6.85,298.6,3.182,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,10.0,13.3449,32.1351,24.1326,23.8,6.74,293.8,3.014,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,11.0,13.1371,32.209,24.2309,25.5,6.6,287.5,2.71,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,11.9,12.9261,32.2752,24.3234,26.9,6.3,274.4,2.496,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,13.0,12.3799,32.4209,24.5414,30.8,6.19,269.6,2.07,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,14.1,12.0939,32.5369,24.6853,36.2,5.89,256.6,1.577,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,15.0,11.9468,32.5672,24.7362,37.7,5.74,250.0,1.368,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,15.8,11.7364,32.5913,24.7938,38.8,5.7,248.3,1.245,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,17.1,11.3037,32.6214,24.8958,42.6,4.91,214.1,0.981,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,18.0,10.7024,32.5957,24.9819,44.6,4.81,209.6,0.856,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,18.9,10.3528,32.6887,25.1143,46.1,4.83,210.5,0.7340000000000001,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,20.0,10.1293,32.7558,25.2044,46.7,4.67,203.4,0.595,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,20.9,9.9616,32.7837,25.2541,47.4,4.65,202.3,0.555,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,22.2,9.8133,32.8166,25.3043,47.9,4.39,191.2,0.513,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,23.0,9.7733,32.853,25.3393,48.0,4.37,190.2,0.488,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,24.0,9.7148,32.871,25.363000000000003,48.2,4.23,184.1,0.45899999999999996,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,25.0,9.6073,32.9225,25.4207,48.4,4.14,180.2,0.428,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,26.1,9.4404,32.9763,25.4898,48.7,4.13,179.8,0.40299999999999997,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,26.9,9.4023,32.9925,25.5086,48.7,4.11,179.1,0.384,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,28.0,9.4,32.9952,25.5111,48.6,4.06,176.7,0.386,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,28.9,9.3999,32.9974,25.5128,48.7,3.95,171.9,0.38299999999999995,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,30.0,9.3067,33.0126,25.5396,48.8,3.9,169.6,0.376,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,30.9,9.101,33.035,25.5898,49.4,3.87,168.6,0.35600000000000004,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,32.4,8.6048,33.0505,25.6788,50.4,3.6,156.5,0.32299999999999995,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,33.0,8.5587,33.0502,25.6856,51.0,3.58,155.7,0.313,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,34.0,8.4229,33.0505,25.7063,51.3,3.52,153.1,0.307,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,35.0,8.365,33.0514,25.7157,51.6,3.43,149.4,0.311,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,36.0,8.2885,33.0517,25.7274,51.9,3.39,147.4,0.32,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,37.0,8.2501,33.0519,25.7332,52.1,3.38,147.0,0.32899999999999996,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,38.3,8.1895,33.056,25.7454,52.4,3.34,145.3,0.32,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,39.0,8.1686,33.0599,25.7516,52.4,3.32,144.4,0.32299999999999995,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,40.0,8.1158,33.0682,25.7659,52.5,3.3,143.7,0.315,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,41.1,8.0728,33.0798,25.7813,52.6,3.27,142.3,0.307,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,42.0,8.0396,33.0867,25.7915,52.8,3.17,138.1,0.308,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,43.0,8.0223,33.0911,25.7975,52.9,3.09,134.4,0.309,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,44.0,7.9929,33.0979,25.8072,52.9,2.98,129.8,0.302,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,45.0,7.9596,33.1109,25.8222,53.0,2.81,122.3,0.303,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,46.0,7.8398,33.1532,25.8728,53.4,2.72,118.6,0.29,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,47.0,7.7554,33.194,25.916999999999998,53.5,2.69,117.2,0.26899999999999996,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,48.0,7.7208,33.2167,25.9398,53.4,2.6,113.3,0.254,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,49.0,7.6691,33.2524,25.9752,53.4,2.56,111.2,0.24100000000000002,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,50.0,7.6346,33.2761,25.9987,53.4,2.55,110.7,0.233,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,51.1,7.6293,33.2812,26.0035,53.5,2.53,110.1,0.225,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,51.9,7.6102,33.295,26.0171,53.5,2.53,110.1,0.218,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,53.0,7.5967,33.3067,26.0282,53.6,2.55,110.8,0.212,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,54.0,7.5893,33.3136,26.0346,53.6,2.56,111.5,0.21,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,55.0,7.5753,33.3249,26.0455,53.4,2.55,111.0,0.207,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,56.0,7.5417,33.3526,26.072,53.3,2.52,109.6,0.195,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,57.0,7.5223,33.3685,26.0873,53.3,2.5,108.9,0.19,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,58.0,7.4909,33.3911,26.1095,53.3,2.5,108.8,0.18,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,59.1,7.4804,33.3975,26.116,53.3,2.49,108.3,0.17300000000000001,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,59.9,7.4791,33.3983,26.1168,53.3,2.47,107.7,0.171,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,61.0,7.4762,33.4005,26.1189,53.3,2.45,106.6,0.17,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,62.0,7.4678,33.4055,26.1241,53.3,2.44,106.0,0.165,0.5
2008-27-0003.ctd,UTC,14/08/2008, 10:52,3,48.5745,-125.49983,P1,63.0,7.4243,33.43,26.1494,53.3,2.43,105.9,0.154,0.5
