File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2007-15-0048.ctd,UTC,22/08/2007, 15:47,48,50.00134,-145.00101,P26,2.2,12.3146,32.4597,24.5838,48.0,6.28,273.5,1.136,
2007-15-0047.ctd,UTC,22/08/2007, 14:36,47,50.00134,-145.00083999999998,P26,2.5,12.3187,32.4615,24.5845,49.5,6.24,271.8,1.2790000000000001,1.8
2007-15-0051.ctd,UTC,22/08/2007, 21:40,51,49.9995,-144.99966,P26,2.5,12.4141,32.46,24.5652,48.8,6.23,271.4,0.795,330.4
2007-15-0047.ctd,UTC,22/08/2007, 14:36,47,50.00134,-145.00083999999998,P26,2.7,12.3165,32.4612,24.5846,49.2,6.28,273.7,1.276,1.9
2007-15-0048.ctd,UTC,22/08/2007, 15:47,48,50.00134,-145.00101,P26,3.0,12.3146,32.4595,24.5837,48.6,6.27,273.2,1.145,
2007-15-0051.ctd,UTC,22/08/2007, 21:40,51,49.9995,-144.99966,P26,3.0,12.4143,32.4605,24.5655,48.8,6.23,271.3,0.807,305.8
2007-15-0052.ctd,UTC,22/08/2007, 23:37,52,50.0005,-145.00034,P26,3.3,12.4453,32.4607,24.5598,47.0,6.26,272.9,0.555,
2007-15-0048.ctd,UTC,22/08/2007, 15:47,48,50.00134,-145.00101,P26,4.0,12.314,32.4598,24.584,49.7,6.27,273.1,1.15,
2007-15-0051.ctd,UTC,22/08/2007, 21:40,51,49.9995,-144.99966,P26,4.0,12.4079,32.4606,24.5668,48.7,6.23,271.3,0.833,266.4
2007-15-0052.ctd,UTC,22/08/2007, 23:37,52,50.0005,-145.00034,P26,4.0,12.4446,32.4608,24.56,46.9,6.26,272.8,0.593,
2007-15-0052.ctd,UTC,22/08/2007, 23:37,52,50.0005,-145.00034,P26,4.9,12.443,32.4608,24.5603,47.5,6.26,272.9,0.635,
2007-15-0048.ctd,UTC,22/08/2007, 15:47,48,50.00134,-145.00101,P26,5.0,12.3146,32.46,24.5841,49.7,6.28,273.4,1.147,
2007-15-0051.ctd,UTC,22/08/2007, 21:40,51,49.9995,-144.99966,P26,5.0,12.4118,32.4606,24.5661,48.8,6.23,271.6,0.8240000000000001,230.4
2007-15-0047.ctd,UTC,22/08/2007, 14:36,47,50.00134,-145.00083999999998,P26,5.1,12.3143,32.4616,24.5854,49.2,6.31,275.0,1.246,1.3
2007-15-0047.ctd,UTC,22/08/2007, 14:36,47,50.00134,-145.00083999999998,P26,5.7,12.3139,32.4618,24.5856,49.1,6.31,274.9,1.24,1.2
2007-15-0052.ctd,UTC,22/08/2007, 23:37,52,50.0005,-145.00034,P26,5.9,12.442,32.461,24.5606,47.2,6.26,272.9,0.654,
2007-15-0048.ctd,UTC,22/08/2007, 15:47,48,50.00134,-145.00101,P26,6.0,12.3145,32.46,24.5841,49.8,6.28,273.6,1.133,
2007-15-0051.ctd,UTC,22/08/2007, 21:40,51,49.9995,-144.99966,P26,6.0,12.4094,32.4607,24.5666,48.7,6.24,271.7,0.847,204.9
2007-15-0055.ctd,UTC,23/08/2007, 05:34,55,50.0035,-145.00666999999999,P26,6.2,12.3785,32.4612,24.5729,47.7,6.28,273.5,1.517,0.1
2007-15-0048.ctd,UTC,22/08/2007, 15:47,48,50.00134,-145.00101,P26,6.9,12.3142,32.46,24.5841,49.8,6.28,273.5,1.121,
2007-15-0047.ctd,UTC,22/08/2007, 14:36,47,50.00134,-145.00083999999998,P26,7.0,12.3142,32.4613,24.5851,49.3,6.31,274.8,1.265,1.0
2007-15-0051.ctd,UTC,22/08/2007, 21:40,51,49.9995,-144.99966,P26,7.0,12.4064,32.4607,24.5672,48.7,6.23,271.6,0.871,184.0
2007-15-0052.ctd,UTC,22/08/2007, 23:37,52,50.0005,-145.00034,P26,7.0,12.4413,32.4609,24.5607,48.1,6.26,273.0,0.657,
2007-15-0055.ctd,UTC,23/08/2007, 05:34,55,50.0035,-145.00666999999999,P26,7.0,12.3806,32.4611,24.5724,48.2,6.28,273.6,1.5,0.1
2007-15-0047.ctd,UTC,22/08/2007, 14:36,47,50.00134,-145.00083999999998,P26,8.0,12.3151,32.4615,24.5851,49.4,6.3,274.7,1.249,0.9
2007-15-0048.ctd,UTC,22/08/2007, 15:47,48,50.00134,-145.00101,P26,8.0,12.3146,32.4601,24.5841,49.7,6.28,273.6,1.146,
2007-15-0051.ctd,UTC,22/08/2007, 21:40,51,49.9995,-144.99966,P26,8.0,12.415,32.4607,24.5656,48.8,6.23,271.5,0.85,164.7
2007-15-0052.ctd,UTC,22/08/2007, 23:37,52,50.0005,-145.00034,P26,8.0,12.4403,32.4609,24.5609,47.9,6.27,273.0,0.687,
2007-15-0055.ctd,UTC,23/08/2007, 05:34,55,50.0035,-145.00666999999999,P26,8.0,12.3791,32.4611,24.5727,48.2,6.28,273.6,1.49,0.1
2007-15-0047.ctd,UTC,22/08/2007, 14:36,47,50.00134,-145.00083999999998,P26,9.0,12.3147,32.4615,24.5852,49.5,6.31,274.9,1.266,0.8
2007-15-0048.ctd,UTC,22/08/2007, 15:47,48,50.00134,-145.00101,P26,9.0,12.3154,32.4598,24.5838,49.6,6.28,273.6,1.1420000000000001,
2007-15-0051.ctd,UTC,22/08/2007, 21:40,51,49.9995,-144.99966,P26,9.0,12.4124,32.4605,24.5659,48.7,6.23,271.6,0.885,149.0
2007-15-0052.ctd,UTC,22/08/2007, 23:37,52,50.0005,-145.00034,P26,9.0,12.4401,32.4609,24.5609,48.3,6.26,272.9,0.748,
2007-15-0055.ctd,UTC,23/08/2007, 05:34,55,50.0035,-145.00666999999999,P26,9.0,12.377,32.4612,24.5732,48.3,6.28,273.7,1.5030000000000001,0.1
2007-15-0047.ctd,UTC,22/08/2007, 14:36,47,50.00134,-145.00083999999998,P26,10.0,12.3141,32.4616,24.5854,49.4,6.3,274.7,1.2570000000000001,0.8
2007-15-0048.ctd,UTC,22/08/2007, 15:47,48,50.00134,-145.00101,P26,10.0,12.3154,32.46,24.5839,49.7,6.28,273.6,1.122,
2007-15-0051.ctd,UTC,22/08/2007, 21:40,51,49.9995,-144.99966,P26,10.0,12.4133,32.4607,24.5659,48.8,6.24,271.9,0.895,137.0
2007-15-0052.ctd,UTC,22/08/2007, 23:37,52,50.0005,-145.00034,P26,10.0,12.4399,32.4606,24.5607,48.3,6.27,273.1,0.818,
2007-15-0055.ctd,UTC,23/08/2007, 05:34,55,50.0035,-145.00666999999999,P26,10.0,12.3512,32.4617,24.5785,48.3,6.28,273.6,1.511,0.1
2007-15-0047.ctd,UTC,22/08/2007, 14:36,47,50.00134,-145.00083999999998,P26,11.0,12.3145,32.4615,24.5852,49.4,6.3,274.5,1.249,0.7
