File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD:Seapoint,PAR:CTD [µE/m^2/sec]
2015-01-0086.ctd,UTC,18/02/2015, 10:14,86,49.999829999999996,-144.9995,P26,Mid-ship,1,7.5518,32.5126,25.4104,56.7,6.73,293.0,1.183,
2015-01-0087.ctd,UTC,18/02/2015, 13:24,87,49.999829999999996,-144.99966,P26,Mid-ship,1,7.5172,32.5125,25.4151,56.4,6.73,293.0,1.19,
2015-01-0086.ctd,UTC,18/02/2015, 10:14,86,49.999829999999996,-144.9995,P26,Mid-ship,2,7.5523,32.5126,25.4103,56.8,6.74,293.6,1.196,
2015-01-0087.ctd,UTC,18/02/2015, 13:24,87,49.999829999999996,-144.99966,P26,Mid-ship,2,7.5196,32.5125,25.4148,42.3,6.75,293.7,1.183,
2015-01-0089.ctd,UTC,18/02/2015, 18:12,89,49.999829999999996,-145.00034,P26,Mid-ship,2,7.501,32.5149,25.4192,59.6,6.76,294.4,0.726,
2015-01-0098.ctd,UTC,19/02/2015, 10:20,98,49.999829999999996,-145.0,P26,Mid-ship,2,7.5216,32.5183,25.419,59.7,6.78,295.0,1.253,
2015-01-0101.ctd,UTC,19/02/2015, 15:30,101,49.999829999999996,-145.0,P26,Mid-ship,2,7.4802,32.5219,25.4276,35.6,6.78,295.1,1.232,
2015-01-0086.ctd,UTC,18/02/2015, 10:14,86,49.999829999999996,-144.9995,P26,Mid-ship,3,7.5525,32.5126,25.4103,59.9,6.77,294.7,1.197,
2015-01-0087.ctd,UTC,18/02/2015, 13:24,87,49.999829999999996,-144.99966,P26,Mid-ship,3,7.5212,32.5126,25.4146,60.8,6.75,294.0,1.195,
2015-01-0089.ctd,UTC,18/02/2015, 18:12,89,49.999829999999996,-145.00034,P26,Mid-ship,3,7.5015,32.5151,25.4193,59.7,6.78,295.0,0.727,
2015-01-0091.ctd,UTC,18/02/2015, 21:49,91,50.00033,-144.9995,P26,Mid-ship,3,7.5007,32.5192,25.4227,59.5,6.79,295.5,0.353,590.1
2015-01-0093.ctd,UTC,18/02/2015, 22:46,93,49.999829999999996,-144.99983,P26,Mid-ship,3,7.5512,32.5141,25.4116,59.7,6.8,295.9,0.45399999999999996,
2015-01-0095.ctd,UTC,19/02/2015, 06:53,95,49.999829999999996,-145.0,P26,Mid-ship,3,7.5569,32.5148,25.4114,59.6,6.8,295.9,1.207,
2015-01-0098.ctd,UTC,19/02/2015, 10:20,98,49.999829999999996,-145.0,P26,Mid-ship,3,7.5204,32.5184,25.4193,59.8,6.78,295.3,1.247,
2015-01-0101.ctd,UTC,19/02/2015, 15:30,101,49.999829999999996,-145.0,P26,Mid-ship,3,7.4799,32.522,25.4277,53.0,6.78,295.2,1.284,
