File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2012-01-0044.ctd,UTC,15/02/2012, 14:48,44,49.999829999999996,-144.99966,P26,Mid-ship,2.4,5.5218,32.6816,25.804000000000002,63.0,7.03,305.9,1.025,
2012-01-0049.ctd,UTC,15/02/2012, 18:49,49,50.00033,-144.99966,P26,Mid-ship,2.5,5.5008,32.6843,25.8085,62.8,7.05,306.6,0.608,144.6
2012-01-0049.ctd,UTC,15/02/2012, 18:49,49,50.00033,-144.99966,P26,Mid-ship,2.9,5.5017,32.684,25.8082,62.8,7.04,306.5,0.7,140.2
2012-01-0044.ctd,UTC,15/02/2012, 14:48,44,49.999829999999996,-144.99966,P26,Mid-ship,3.0,5.5218,32.6816,25.804000000000002,63.0,7.03,306.0,1.021,
2012-01-0050.ctd,UTC,15/02/2012, 19:51,50,50.0005,-145.00034,P26,Mid-ship,3.2,5.5047,32.6847,25.8084,62.7,7.06,307.3,0.708,
2012-01-0040.ctd,UTC,15/02/2012, 11:57,40,50.00067,-145.0005,P26,Mid-ship,3.3,5.5062,32.6778,25.8028,63.0,7.04,306.3,1.025,
2012-01-0040.ctd,UTC,15/02/2012, 11:57,40,50.00067,-145.0005,P26,Mid-ship,4.0,5.5063,32.6778,25.8028,63.0,7.04,306.3,0.946,
2012-01-0044.ctd,UTC,15/02/2012, 14:48,44,49.999829999999996,-144.99966,P26,Mid-ship,4.0,5.5217,32.6814,25.8038,62.9,7.03,306.0,1.0959999999999999,
2012-01-0049.ctd,UTC,15/02/2012, 18:49,49,50.00033,-144.99966,P26,Mid-ship,4.1,5.5015,32.6841,25.8083,62.9,7.04,306.4,0.7040000000000001,111.5
2012-01-0050.ctd,UTC,15/02/2012, 19:51,50,50.0005,-145.00034,P26,Mid-ship,4.1,5.5048,32.6846,25.8083,62.7,7.06,307.2,0.738,
2012-01-0046.ctd,UTC,15/02/2012, 16:20,46,49.9995,-144.99899,P26,Mid-ship,4.2,5.5253,32.6837,25.8052,63.0,7.05,306.9,1.025,
2012-01-0046.ctd,UTC,15/02/2012, 16:20,46,49.9995,-144.99899,P26,Mid-ship,5.0,5.5251,32.6837,25.8052,63.0,7.05,306.9,0.988,
