File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,16.2,9.1109,31.1913,24.1462,49.0,5.87,255.7,1.2590000000000001,2.287,0.1
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,17.0,9.1103,31.1927,24.1474,48.9,5.82,253.5,1.3119999999999998,2.032,0.1
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,18.0,9.1103,31.1932,24.1478,49.0,5.79,252.4,1.27,1.9909999999999999,0.1
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,19.0,9.1096,31.2092,24.1604,49.3,5.78,251.7,1.25,1.933,0.1
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,20.0,9.0915,31.2665,24.208000000000002,48.6,5.78,251.9,1.209,1.8980000000000001,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,21.0,9.0799,31.2917,24.2295,49.0,5.79,252.2,1.262,1.8730000000000002,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,22.0,9.0659,31.3085,24.2447,49.2,5.7,248.3,1.123,2.145,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,23.2,8.9955,31.3909,24.3199,50.6,5.27,229.8,0.945,1.679,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,24.0,8.8931,31.4706,24.3979,52.0,5.22,227.4,0.7609999999999999,1.08,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,25.0,8.8643,31.4887,24.4164,53.9,5.17,225.5,0.715,0.9390000000000001,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,26.0,8.84,31.506,24.4336,54.6,5.15,224.5,0.628,0.773,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,27.0,8.804,31.5382,24.4643,54.9,5.14,223.9,0.564,0.772,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,28.0,8.7372,31.5982,24.5213,55.2,5.13,223.6,0.488,0.784,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,29.1,8.677,31.6412,24.564,55.8,5.11,222.9,0.465,0.823,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,30.0,8.6477,31.6594,24.5826,56.0,5.09,221.8,0.414,0.775,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,31.0,8.625,31.6789,24.6013,56.1,5.05,220.1,0.40299999999999997,0.754,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,32.0,8.6004,31.6965,24.6188,56.4,4.99,217.6,0.40700000000000003,0.7709999999999999,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,33.0,8.5798,31.7119,24.6339,56.6,4.95,215.5,0.397,0.752,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,34.0,8.5364,31.7365,24.6596,56.8,4.96,216.0,0.39799999999999996,0.716,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,35.0,8.4923,31.7622,24.6863,56.9,5.02,218.8,0.371,0.6859999999999999,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,36.0,8.4142,31.8188,24.7422,57.4,5.12,222.9,0.38799999999999996,0.6990000000000001,0.0
2012-12-0002.ctd,UTC,24/05/2012, 13:00,2,48.575829999999996,-125.50083000000001,P1,Mid-ship,37.0,8.3756,31.8604,24.7805,58.5,5.2,226.7,0.34600000000000003,0.69,0.0
