File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2013-01-0052.ctd,UTC,13-02-13, 06:30,52,50.00033,-144.99983,P26,Mid-ship,2,5.4127,32.6272,25.7736,60.0,7.17,312.2,0.624,
2013-01-0052.ctd,UTC,13-02-13, 06:30,52,50.00033,-144.99983,P26,Mid-ship,3,5.4129,32.626999999999995,25.7734,59.8,7.18,312.4,0.622,
2013-01-0042.ctd,UTC,12-02-13, 20:31,42,50.000170000000004,-144.99983,P26,Mid-ship,4,5.4153,32.6314,25.7766,60.5,7.17,312.2,0.461,
2013-01-0052.ctd,UTC,13-02-13, 06:30,52,50.00033,-144.99983,P26,Mid-ship,4,5.4133,32.6275,25.7738,60.3,7.19,312.8,0.588,
2013-01-0042.ctd,UTC,12-02-13, 20:31,42,50.000170000000004,-144.99983,P26,Mid-ship,5,5.4152,32.6312,25.7765,60.5,7.17,312.0,0.423,
2013-01-0052.ctd,UTC,13-02-13, 06:30,52,50.00033,-144.99983,P26,Mid-ship,5,5.4132,32.6274,25.7737,56.2,7.17,311.9,0.625,
2013-01-0041.ctd,UTC,12-02-13, 19:28,41,49.999829999999996,-145.00034,P26,Mid-ship,6,5.4093,32.6302,25.7764,60.1,7.16,311.4,0.428,84.2
2013-01-0042.ctd,UTC,12-02-13, 20:31,42,50.000170000000004,-144.99983,P26,Mid-ship,6,5.4149,32.6312,25.7765,60.6,7.16,311.7,0.423,
2013-01-0052.ctd,UTC,13-02-13, 06:30,52,50.00033,-144.99983,P26,Mid-ship,6,5.4129,32.6278,25.774,59.4,7.17,312.1,0.611,
2013-01-0041.ctd,UTC,12-02-13, 19:28,41,49.999829999999996,-145.00034,P26,Mid-ship,7,5.4091,32.6302,25.7764,60.1,7.16,311.5,0.436,77.0
2013-01-0042.ctd,UTC,12-02-13, 20:31,42,50.000170000000004,-144.99983,P26,Mid-ship,7,5.4146,32.6313,25.7766,60.5,7.16,311.4,0.451,
2013-01-0052.ctd,UTC,13-02-13, 06:30,52,50.00033,-144.99983,P26,Mid-ship,7,5.4132,32.6276,25.7738,59.6,7.18,312.4,0.5870000000000001,
2013-01-0042.ctd,UTC,12-02-13, 20:31,42,50.000170000000004,-144.99983,P26,Mid-ship,8,5.4143,32.6313,25.7766,60.6,7.16,311.4,0.444,
2013-01-0052.ctd,UTC,13-02-13, 06:30,52,50.00033,-144.99983,P26,Mid-ship,8,5.4135,32.6277,25.7739,59.0,7.18,312.4,0.608,
2013-01-0042.ctd,UTC,12-02-13, 20:31,42,50.000170000000004,-144.99983,P26,Mid-ship,9,5.4147,32.6312,25.7765,60.7,7.16,311.6,0.46,
2013-01-0052.ctd,UTC,13-02-13, 06:30,52,50.00033,-144.99983,P26,Mid-ship,9,5.4131,32.6286,25.7747,60.1,7.18,312.5,0.625,
2013-01-0041.ctd,UTC,12-02-13, 19:28,41,49.999829999999996,-145.00034,P26,Mid-ship,10,5.4099,32.6303,25.7764,60.1,7.17,311.9,0.49200000000000005,57.7
2013-01-0042.ctd,UTC,12-02-13, 20:31,42,50.000170000000004,-144.99983,P26,Mid-ship,10,5.4146,32.6313,25.7766,60.6,7.16,311.7,0.45299999999999996,
2013-01-0052.ctd,UTC,13-02-13, 06:30,52,50.00033,-144.99983,P26,Mid-ship,10,5.4128,32.6292,25.7752,60.3,7.18,312.3,0.623,
2013-01-0041.ctd,UTC,12-02-13, 19:28,41,49.999829999999996,-145.00034,P26,Mid-ship,11,5.4091,32.6306,25.7767,60.1,7.17,311.8,0.522,54.2
2013-01-0042.ctd,UTC,12-02-13, 20:31,42,50.000170000000004,-144.99983,P26,Mid-ship,11,5.4113,32.6313,25.776999999999997,60.7,7.17,312.2,0.446,
2013-01-0052.ctd,UTC,13-02-13, 06:30,52,50.00033,-144.99983,P26,Mid-ship,11,5.4129,32.629,25.775,60.5,7.18,312.4,0.614,
2013-01-0041.ctd,UTC,12-02-13, 19:28,41,49.999829999999996,-145.00034,P26,Mid-ship,12,5.409,32.6303,25.7765,60.1,7.17,312.1,0.5539999999999999,47.5
2013-01-0042.ctd,UTC,12-02-13, 20:31,42,50.000170000000004,-144.99983,P26,Mid-ship,12,5.4107,32.6312,25.776999999999997,60.8,7.17,311.9,0.446,
