File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3871,1.508,34.6794,27.778000000000002,68.3,3.08,133.8,0.1,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3872,1.5078,34.6795,27.7781,68.3,3.1,134.5,0.094,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3873,1.5074,34.6796,27.7782,68.3,3.09,134.2,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3874,1.5078,34.6793,27.778000000000002,68.3,3.12,135.4,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3875,1.5079,34.6792,27.7779,68.3,3.06,132.9,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3876,1.5078,34.6794,27.778000000000002,68.3,3.07,133.4,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3877,1.5077,34.6796,27.7782,68.3,3.1,134.9,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3878,1.5076,34.6796,27.7782,68.3,3.09,134.2,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3879,1.5073,34.6798,27.7784,68.3,3.09,134.2,0.09,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3880,1.5072,34.6798,27.7784,68.3,3.09,134.4,0.079,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3881,1.5077,34.6796,27.7782,68.3,3.09,134.2,0.095,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3882,1.5076,34.6795,27.7781,68.3,3.12,135.7,0.083,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3883,1.5075,34.6797,27.7783,68.3,3.07,133.4,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3884,1.5074,34.6798,27.7784,68.3,3.08,133.7,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3885,1.5071,34.6798,27.7784,68.3,3.09,134.4,0.09,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3886,1.507,34.6799,27.7785,68.4,3.1,134.8,0.077,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3887,1.5067,34.6799,27.7785,68.4,3.11,135.1,0.077,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3888,1.5068,34.6798,27.7784,68.4,3.08,134.0,0.085,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3889,1.5068,34.6799,27.7785,68.4,3.07,133.3,0.092,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3890,1.5066,34.6799,27.7785,68.4,3.12,135.6,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3891,1.5065,34.68,27.7786,68.4,3.08,134.0,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3892,1.5066,34.6799,27.7785,68.3,3.1,134.8,0.099,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3893,1.5067,34.6799,27.7785,68.4,3.09,134.3,0.077,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3894,1.5068,34.68,27.7786,68.4,3.1,134.6,0.099,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3895,1.5068,34.68,27.7786,68.4,3.13,136.1,0.095,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3896,1.5068,34.68,27.7786,68.3,3.09,134.2,0.099,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3897,1.5068,34.6801,27.7787,68.3,3.09,134.0,0.09699999999999999,
