File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2009-09-0073.ctd,UTC,14/06/2009, 16:49,73,49.99866,-145.00301000000002,P26,2.2,9.5726,32.5524,25.1372,53.3,6.92,301.5,0.537,
2009-09-0079.ctd,UTC,15/06/2009, 02:32,79,49.999829999999996,-145.00017,P26,2.5,9.634,32.5696,25.1407,53.1,6.93,301.9,0.247,
2009-09-0073.ctd,UTC,14/06/2009, 16:49,73,49.99866,-145.00301000000002,P26,3.0,9.5736,32.5523,25.136999999999997,53.3,6.93,301.6,0.536,
2009-09-0079.ctd,UTC,15/06/2009, 02:32,79,49.999829999999996,-145.00017,P26,3.0,9.6363,32.5695,25.1403,53.1,6.93,302.0,0.256,
2009-09-0082.ctd,UTC,15/06/2009, 08:54,82,50.0005,-144.99983,P26,3.0,9.5245,32.5667,25.1562,52.9,6.92,301.4,0.758,
2009-09-0080.ctd,UTC,15/06/2009, 05:03,80,49.9995,-145.00101,P26,3.1,9.5912,32.5675,25.146,39.6,6.92,301.5,0.67,
2009-09-0081.ctd,UTC,15/06/2009, 07:07,81,50.0,-145.00133,P26,3.1,9.5814,32.5642,25.145,45.0,6.93,301.7,0.7240000000000001,
2009-09-0071.ctd,UTC,14/06/2009, 12:20,71,50.001670000000004,-144.99899,P26,3.2,9.6046,32.552,25.1317,53.8,6.93,301.6,0.659,
2009-09-0074.ctd,UTC,14/06/2009, 17:38,74,50.000170000000004,-145.0005,P26,3.3,9.6016,32.5519,25.1322,52.9,6.93,301.6,0.475,
2009-09-0076.ctd,UTC,14/06/2009, 22:17,76,49.99933,-144.99966,P26,3.4,9.5484,32.5594,25.1466,53.0,6.96,303.0,0.231,
2009-09-0081.ctd,UTC,15/06/2009, 07:07,81,50.0,-145.00133,P26,3.5,9.5787,32.5648,25.1459,43.3,6.93,301.8,0.7290000000000001,
2009-09-0071.ctd,UTC,14/06/2009, 12:20,71,50.001670000000004,-144.99899,P26,3.9,9.5993,32.5525,25.133000000000003,53.8,6.92,301.5,0.6679999999999999,
2009-09-0076.ctd,UTC,14/06/2009, 22:17,76,49.99933,-144.99966,P26,3.9,9.5484,32.5599,25.147,53.1,6.96,303.0,0.233,
2009-09-0073.ctd,UTC,14/06/2009, 16:49,73,49.99866,-145.00301000000002,P26,4.0,9.5748,32.5522,25.1367,53.3,6.92,301.4,0.5529999999999999,
2009-09-0074.ctd,UTC,14/06/2009, 17:38,74,50.000170000000004,-145.0005,P26,4.0,9.6007,32.552,25.1324,52.9,6.93,301.7,0.489,
2009-09-0079.ctd,UTC,15/06/2009, 02:32,79,49.999829999999996,-145.00017,P26,4.0,9.6307,32.5697,25.1413,53.3,6.95,302.6,0.28600000000000003,
2009-09-0080.ctd,UTC,15/06/2009, 05:03,80,49.9995,-145.00101,P26,4.0,9.5912,32.5674,25.1459,41.0,6.91,300.9,0.672,
2009-09-0082.ctd,UTC,15/06/2009, 08:54,82,50.0005,-144.99983,P26,4.0,9.5249,32.5668,25.1562,53.1,6.93,301.7,0.7490000000000001,
2009-09-0075.ctd,UTC,14/06/2009, 20:15,75,49.99883,-145.00066999999999,P26,4.1,9.486,32.5557,25.1538,52.8,6.94,302.4,0.268,548.9
2009-09-0074.ctd,UTC,14/06/2009, 17:38,74,50.000170000000004,-145.0005,P26,4.9,9.6017,32.5519,25.1321,53.1,6.91,300.7,0.475,
2009-09-0075.ctd,UTC,14/06/2009, 20:15,75,49.99883,-145.00066999999999,P26,4.9,9.4977,32.555,25.1513,53.0,6.94,302.3,0.264,427.6
2009-09-0079.ctd,UTC,15/06/2009, 02:32,79,49.999829999999996,-145.00017,P26,4.9,9.6288,32.5696,25.1416,53.1,6.94,302.2,0.294,
2009-09-0071.ctd,UTC,14/06/2009, 12:20,71,50.001670000000004,-144.99899,P26,5.0,9.5003,32.5579,25.1532,53.6,6.94,302.4,0.6729999999999999,
2009-09-0073.ctd,UTC,14/06/2009, 16:49,73,49.99866,-145.00301000000002,P26,5.0,9.5743,32.5524,25.136999999999997,53.3,6.9,300.6,0.561,
2009-09-0076.ctd,UTC,14/06/2009, 22:17,76,49.99933,-144.99966,P26,5.0,9.5487,32.5599,25.1469,53.1,6.94,302.3,0.237,
2009-09-0080.ctd,UTC,15/06/2009, 05:03,80,49.9995,-145.00101,P26,5.0,9.5906,32.5678,25.1463,46.0,6.93,301.6,0.667,
2009-09-0081.ctd,UTC,15/06/2009, 07:07,81,50.0,-145.00133,P26,5.0,9.574,32.5643,25.1463,49.5,6.93,301.7,0.7140000000000001,
2009-09-0082.ctd,UTC,15/06/2009, 08:54,82,50.0005,-144.99983,P26,5.0,9.5245,32.5669,25.1563,53.3,6.93,301.6,0.747,
2009-09-0079.ctd,UTC,15/06/2009, 02:32,79,49.999829999999996,-145.00017,P26,5.9,9.6271,32.5694,25.1417,53.1,6.93,301.7,0.301,
2009-09-0071.ctd,UTC,14/06/2009, 12:20,71,50.001670000000004,-144.99899,P26,6.0,9.4194,32.5574,25.1658,53.5,6.98,303.8,0.67,
2009-09-0073.ctd,UTC,14/06/2009, 16:49,73,49.99866,-145.00301000000002,P26,6.0,9.562000000000001,32.553000000000004,25.1394,53.4,6.92,301.3,0.5870000000000001,
2009-09-0074.ctd,UTC,14/06/2009, 17:38,74,50.000170000000004,-145.0005,P26,6.0,9.6001,32.5519,25.1324,53.1,6.91,301.0,0.486,
2009-09-0076.ctd,UTC,14/06/2009, 22:17,76,49.99933,-144.99966,P26,6.0,9.5482,32.56,25.1471,53.1,6.94,302.4,0.239,
2009-09-0080.ctd,UTC,15/06/2009, 05:03,80,49.9995,-145.00101,P26,6.0,9.589,32.5682,25.1469,50.0,6.93,301.9,0.665,
2009-09-0081.ctd,UTC,15/06/2009, 07:07,81,50.0,-145.00133,P26,6.0,9.5728,32.5644,25.1466,52.2,6.93,301.8,0.6990000000000001,
2009-09-0082.ctd,UTC,15/06/2009, 08:54,82,50.0005,-144.99983,P26,6.0,9.5254,32.5667,25.156,53.4,6.93,301.9,0.736,
2009-09-0075.ctd,UTC,14/06/2009, 20:15,75,49.99883,-145.00066999999999,P26,6.1,9.5054,32.5558,25.1507,53.0,6.94,302.1,0.271,331.9
2009-09-0075.ctd,UTC,14/06/2009, 20:15,75,49.99883,-145.00066999999999,P26,6.9,9.5014,32.5557,25.1513,53.0,6.93,302.0,0.293,307.0
2009-09-0071.ctd,UTC,14/06/2009, 12:20,71,50.001670000000004,-144.99899,P26,7.0,9.327,32.5582,25.1811,53.4,7.0,304.7,0.705,
2009-09-0073.ctd,UTC,14/06/2009, 16:49,73,49.99866,-145.00301000000002,P26,7.0,9.554,32.5529,25.1406,53.3,6.92,301.5,0.595,
2009-09-0074.ctd,UTC,14/06/2009, 17:38,74,50.000170000000004,-145.0005,P26,7.0,9.5874,32.5522,25.1347,53.3,6.94,302.2,0.532,
2009-09-0076.ctd,UTC,14/06/2009, 22:17,76,49.99933,-144.99966,P26,7.0,9.5453,32.5601,25.1476,53.1,6.94,302.1,0.25,
2009-09-0079.ctd,UTC,15/06/2009, 02:32,79,49.999829999999996,-145.00017,P26,7.0,9.629,32.5693,25.1413,53.3,6.94,302.3,0.317,
2009-09-0080.ctd,UTC,15/06/2009, 05:03,80,49.9995,-145.00101,P26,7.0,9.5894,32.5681,25.1468,51.9,6.93,302.0,0.682,
2009-09-0081.ctd,UTC,15/06/2009, 07:07,81,50.0,-145.00133,P26,7.0,9.5714,32.5643,25.1467,52.4,6.93,301.9,0.713,
2009-09-0082.ctd,UTC,15/06/2009, 08:54,82,50.0005,-144.99983,P26,7.0,9.5258,32.5668,25.156,53.5,6.94,302.1,0.74,
2009-09-0071.ctd,UTC,14/06/2009, 12:20,71,50.001670000000004,-144.99899,P26,8.0,9.2287,32.5576,25.1962,53.4,7.02,305.7,0.733,
2009-09-0073.ctd,UTC,14/06/2009, 16:49,73,49.99866,-145.00301000000002,P26,8.0,9.556000000000001,32.5527,25.1401,53.4,6.93,302.0,0.581,
