File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2017-06-0092.ctd,UTC,13-06-17, 11:34,92,49.999829999999996,-145.00316999999998,P26,Mid-ship,1.4,8.8827,32.4512,25.1669,58.3,6.73,293.2,0.903,0.1
2017-06-0087.ctd,UTC,12-06-17, 21:51,87,50.000170000000004,-144.99966,P26,Mid-ship,1.9,8.9027,32.4524,25.1647,56.5,6.78,295.2,0.226,1224.9
2017-06-0092.ctd,UTC,13-06-17, 11:34,92,49.999829999999996,-145.00316999999998,P26,Mid-ship,1.9,8.8832,32.4513,25.1669,58.2,6.73,293.2,0.8859999999999999,0.1
2017-06-0091.ctd,UTC,13-06-17, 02:19,91,50.0,-144.99966,P26,Mid-ship,2.0,8.8977,32.4539,25.1667,57.9,6.76,294.6,0.45899999999999996,371.1
2017-06-0096.ctd,UTC,13-06-17, 15:54,96,50.000170000000004,-145.00417,P26,Mid-ship,2.9,8.8551,32.4513,25.1712,58.4,6.73,293.0,0.484,194.7
2017-06-0087.ctd,UTC,12-06-17, 21:51,87,50.000170000000004,-144.99966,P26,Mid-ship,3.0,8.8994,32.4523,25.1652,55.5,6.78,295.3,0.226,571.2
2017-06-0092.ctd,UTC,13-06-17, 11:34,92,49.999829999999996,-145.00316999999998,P26,Mid-ship,3.0,8.8848,32.451,25.1664,58.3,6.74,293.5,0.871,0.1
2017-06-0091.ctd,UTC,13-06-17, 02:19,91,50.0,-144.99966,P26,Mid-ship,3.1,8.8971,32.4537,25.1666,58.1,6.77,295.0,0.46,299.5
2017-06-0085.ctd,UTC,12-06-17, 17:07,85,49.999829999999996,-144.9985,P26,Mid-ship,3.5,8.8228,32.451,25.1759,58.6,6.75,294.1,0.326,
2017-06-0091.ctd,UTC,13-06-17, 02:19,91,50.0,-144.99966,P26,Mid-ship,3.5,8.8968,32.4536,25.1666,58.1,6.78,295.2,0.46399999999999997,274.9
