File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2016-01-0067.ctd,UTC,16-02-16, 13:49,67,50.0,-144.99833999999998,P26,Mid-ship,1.3,6.5436,32.6519,25.6551,54.4,6.84,297.6,1.219,
2016-01-0067.ctd,UTC,16-02-16, 13:49,67,50.0,-144.99833999999998,P26,Mid-ship,1.6,6.5438,32.6519,25.6551,54.4,6.84,297.6,1.238,
2016-01-0065.ctd,UTC,16-02-16, 08:20,65,49.999829999999996,-145.00034,P26,Mid-ship,2.3,6.6044,32.6585,25.6525,54.4,6.84,297.7,1.262,
2016-01-0069.ctd,UTC,16-02-16, 17:17,69,49.99866,-144.9995,P26,Mid-ship,2.4,6.4712,32.6459,25.6597,54.0,6.89,299.9,1.0979999999999999,15.8
2016-01-0065.ctd,UTC,16-02-16, 08:20,65,49.999829999999996,-145.00034,P26,Mid-ship,2.7,6.6046,32.6586,25.6526,54.5,6.85,298.0,1.275,
2016-01-0066.ctd,UTC,16-02-16, 09:15,66,49.99866,-145.00066999999999,P26,Mid-ship,3.0,6.581,32.6566,25.654,53.8,6.85,298.2,1.2890000000000001,
2016-01-0069.ctd,UTC,16-02-16, 17:17,69,49.99866,-144.9995,P26,Mid-ship,3.1,6.4714,32.6459,25.6597,53.0,6.89,299.9,1.153,14.0
2016-01-0067.ctd,UTC,16-02-16, 13:49,67,50.0,-144.99833999999998,P26,Mid-ship,3.3,6.5454,32.6525,25.6554,54.0,6.85,298.1,1.251,
2016-01-0068.ctd,UTC,16-02-16, 16:08,68,49.999829999999996,-144.99884,P26,Mid-ship,3.5,6.4855,32.6466,25.6584,54.8,6.85,298.0,1.2790000000000001,
2016-01-0065.ctd,UTC,16-02-16, 08:20,65,49.999829999999996,-145.00034,P26,Mid-ship,4.0,6.6046,32.6588,25.6527,54.5,6.84,297.7,1.272,
2016-01-0066.ctd,UTC,16-02-16, 09:15,66,49.99866,-145.00066999999999,P26,Mid-ship,4.0,6.5801,32.657,25.6545,53.7,6.85,298.3,1.236,
2016-01-0067.ctd,UTC,16-02-16, 13:49,67,50.0,-144.99833999999998,P26,Mid-ship,4.0,6.5455,32.6527,25.6555,54.4,6.84,297.9,1.215,
2016-01-0068.ctd,UTC,16-02-16, 16:08,68,49.999829999999996,-144.99884,P26,Mid-ship,4.0,6.4855,32.6467,25.6585,54.5,6.85,298.3,1.235,
2016-01-0069.ctd,UTC,16-02-16, 17:17,69,49.99866,-144.9995,P26,Mid-ship,4.0,6.4716,32.6459,25.6596,53.3,6.88,299.6,1.202,12.4
2016-01-0065.ctd,UTC,16-02-16, 08:20,65,49.999829999999996,-145.00034,P26,Mid-ship,5.0,6.6045,32.6588,25.6527,54.3,6.84,297.7,1.246,
2016-01-0066.ctd,UTC,16-02-16, 09:15,66,49.99866,-145.00066999999999,P26,Mid-ship,5.0,6.5792,32.6572,25.6547,54.1,6.86,298.7,1.237,
2016-01-0069.ctd,UTC,16-02-16, 17:17,69,49.99866,-144.9995,P26,Mid-ship,5.0,6.4717,32.6461,25.6598,53.9,6.88,299.4,1.157,11.1
2016-01-0067.ctd,UTC,16-02-16, 13:49,67,50.0,-144.99833999999998,P26,Mid-ship,5.1,6.5451,32.6526,25.6555,54.6,6.85,298.1,1.222,
2016-01-0068.ctd,UTC,16-02-16, 16:08,68,49.999829999999996,-144.99884,P26,Mid-ship,5.3,6.4821,32.647,25.6592,54.6,6.84,297.9,1.185,
2016-01-0067.ctd,UTC,16-02-16, 13:49,67,50.0,-144.99833999999998,P26,Mid-ship,5.8,6.5454,32.6527,25.6555,54.5,6.83,297.2,1.185,
2016-01-0065.ctd,UTC,16-02-16, 08:20,65,49.999829999999996,-145.00034,P26,Mid-ship,6.0,6.605,32.6589,25.6527,54.4,6.83,297.5,1.2770000000000001,
2016-01-0066.ctd,UTC,16-02-16, 09:15,66,49.99866,-145.00066999999999,P26,Mid-ship,6.0,6.5786,32.6572,25.6548,54.3,6.85,298.2,1.224,
2016-01-0068.ctd,UTC,16-02-16, 16:08,68,49.999829999999996,-144.99884,P26,Mid-ship,6.0,6.4816,32.6467,25.659000000000002,54.7,6.84,297.7,1.181,
2016-01-0069.ctd,UTC,16-02-16, 17:17,69,49.99866,-144.9995,P26,Mid-ship,6.0,6.4711,32.6462,25.6599,54.4,6.89,299.9,1.181,9.7
2016-01-0065.ctd,UTC,16-02-16, 08:20,65,49.999829999999996,-145.00034,P26,Mid-ship,7.0,6.6057,32.6588,25.6526,54.5,6.83,297.3,1.28,
2016-01-0066.ctd,UTC,16-02-16, 09:15,66,49.99866,-145.00066999999999,P26,Mid-ship,7.0,6.582000000000001,32.6571,25.6543,54.3,6.86,298.4,1.225,
2016-01-0067.ctd,UTC,16-02-16, 13:49,67,50.0,-144.99833999999998,P26,Mid-ship,7.0,6.5463,32.653,25.6557,54.6,6.85,298.2,1.1440000000000001,
2016-01-0068.ctd,UTC,16-02-16, 16:08,68,49.999829999999996,-144.99884,P26,Mid-ship,7.0,6.4812,32.6467,25.659000000000002,54.7,6.84,297.9,1.137,
2016-01-0069.ctd,UTC,16-02-16, 17:17,69,49.99866,-144.9995,P26,Mid-ship,7.0,6.4712,32.6462,25.6599,54.7,6.89,299.9,1.185,8.7
2016-01-0065.ctd,UTC,16-02-16, 08:20,65,49.999829999999996,-145.00034,P26,Mid-ship,8.0,6.6057,32.6589,25.6527,54.5,6.83,297.4,1.2830000000000001,
2016-01-0066.ctd,UTC,16-02-16, 09:15,66,49.99866,-145.00066999999999,P26,Mid-ship,8.0,6.5856,32.6571,25.6538,54.3,6.86,298.6,1.235,
2016-01-0067.ctd,UTC,16-02-16, 13:49,67,50.0,-144.99833999999998,P26,Mid-ship,8.0,6.5465,32.6531,25.6557,54.6,6.86,298.6,1.1640000000000001,
2016-01-0068.ctd,UTC,16-02-16, 16:08,68,49.999829999999996,-144.99884,P26,Mid-ship,8.0,6.4808,32.6465,25.6589,54.7,6.85,298.1,1.168,
2016-01-0069.ctd,UTC,16-02-16, 17:17,69,49.99866,-144.9995,P26,Mid-ship,8.0,6.4716,32.6461,25.6598,54.7,6.89,299.8,1.135,8.3
2016-01-0066.ctd,UTC,16-02-16, 09:15,66,49.99866,-145.00066999999999,P26,Mid-ship,8.9,6.5859,32.6573,25.654,54.2,6.85,298.3,1.296,
2016-01-0069.ctd,UTC,16-02-16, 17:17,69,49.99866,-144.9995,P26,Mid-ship,8.9,6.4712,32.6462,25.6599,54.8,6.88,299.5,1.122,7.2
2016-01-0065.ctd,UTC,16-02-16, 08:20,65,49.999829999999996,-145.00034,P26,Mid-ship,9.0,6.6058,32.659,25.6527,54.4,6.84,297.7,1.31,
2016-01-0067.ctd,UTC,16-02-16, 13:49,67,50.0,-144.99833999999998,P26,Mid-ship,9.0,6.5463,32.6532,25.6558,54.6,6.86,298.7,1.217,
