File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2007-13-0060.ctd,UTC,07/06/2007, 15:07,60,49.96416,-145.00417,P26,2.4,7.0091,32.5977,25.5514,54.4,7.18,312.6,0.512,64.8
2007-13-0074.ctd,UTC,09/06/2007, 14:51,74,50.03733,-145.03083999999998,P26,2.5,6.9762,32.571,25.5348,44.3,7.15,311.2,0.541,74.7
2007-13-0060.ctd,UTC,07/06/2007, 15:07,60,49.96416,-145.00417,P26,2.9,7.0093,32.5975,25.5512,54.6,7.17,311.9,0.542,59.9
2007-13-0074.ctd,UTC,09/06/2007, 14:51,74,50.03733,-145.03083999999998,P26,3.0,6.976,32.5716,25.5353,48.3,7.15,311.3,0.529,45.9
2007-13-0067.ctd,UTC,08/06/2007, 17:40,67,49.99967,-145.0,P26,3.1,7.1051,32.5946,25.5361,55.1,7.17,312.0,0.48700000000000004,
2007-13-0058.ctd,UTC,07/06/2007, 10:54,58,50.0,-144.99966,P26,3.2,6.997999999999999,32.5947,25.5505,55.4,7.21,314.0,0.65,0.4
2007-13-0063.ctd,UTC,08/06/2007, 04:32,63,50.005,-144.97899999999998,P26,3.2,7.0907,32.5952,25.5385,42.0,7.19,313.0,0.564,50.3
2007-13-0072.ctd,UTC,09/06/2007, 10:34,72,50.0005,-145.00017,P26,3.4,7.0823,32.5864,25.5327,55.5,7.11,309.3,0.499,0.6
2007-13-0060.ctd,UTC,07/06/2007, 15:07,60,49.96416,-145.00417,P26,4.0,7.0092,32.5975,25.5512,54.8,7.16,311.8,0.483,50.6
2007-13-0063.ctd,UTC,08/06/2007, 04:32,63,50.005,-144.97899999999998,P26,4.0,7.0906,32.5954,25.5387,46.2,7.2,313.3,0.5670000000000001,40.6
2007-13-0067.ctd,UTC,08/06/2007, 17:40,67,49.99967,-145.0,P26,4.0,7.1044,32.5947,25.5363,55.3,7.17,312.0,0.486,
2007-13-0068.ctd,UTC,08/06/2007, 21:14,68,50.0005,-144.99683000000002,P26,4.0,7.1405,32.595,25.5316,56.0,7.19,312.8,0.285,225.0
2007-13-0074.ctd,UTC,09/06/2007, 14:51,74,50.03733,-145.03083999999998,P26,4.0,6.9763,32.5717,25.5353,50.7,7.13,310.3,0.561,44.1
2007-13-0053.ctd,UTC,07/06/2007, 02:36,53,50.00067,-144.99583,P26,4.1,7.0407,32.5901,25.5412,47.3,7.22,314.4,0.193,407.9
2007-13-0058.ctd,UTC,07/06/2007, 10:54,58,50.0,-144.99966,P26,4.1,6.9982,32.5946,25.5504,55.5,7.21,313.7,0.615,0.4
