File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2609.0,1.6781,34.6371,27.7315,67.8,2.09,90.6,0.024,0.127,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2609.0,1.6822,34.6365,27.7307,67.9,2.08,90.3,0.024,0.145,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2609.9,1.6715,34.6383,27.7329,67.9,2.11,91.7,0.024,0.114,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2610.0,1.6779,34.6371,27.7315,67.8,2.09,90.9,0.024,0.11199999999999999,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2610.0,1.6821,34.6367,27.7309,67.9,2.08,90.1,0.024,0.138,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2611.0,1.6711,34.6384,27.7331,67.9,2.11,91.4,0.024,0.13,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2611.0,1.6771,34.6372,27.7316,67.8,2.09,90.7,0.024,0.124,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2611.0,1.6806,34.6369,27.7311,67.9,2.08,90.1,0.024,0.113,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2611.9,1.6801,34.6367,27.730999999999998,67.9,2.08,90.2,0.024,0.12,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2612.0,1.6707,34.6386,27.7332,67.9,2.1,91.4,0.024,0.102,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2612.0,1.6767,34.6374,27.7318,67.9,2.09,91.0,0.024,0.11699999999999999,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2613.0,1.6762,34.6374,27.7319,67.8,2.09,90.9,0.024,0.122,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2613.1,1.6703,34.6385,27.7332,67.9,2.11,91.7,0.024,0.127,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2613.1,1.6795,34.6369,27.7312,67.9,2.08,90.5,0.027000000000000003,0.125,
