File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2577.0,1.6912,34.6347,27.7286,67.9,2.05,88.9,0.024,0.14300000000000002,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2577.0,1.6916,34.6346,27.7285,67.9,2.04,88.5,0.024,0.121,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2578.0,1.6846,34.635999999999996,27.7301,67.9,2.06,89.4,0.024,0.129,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2578.0,1.6909,34.6347,27.7286,67.9,2.04,88.4,0.024,0.11800000000000001,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2578.1,1.6909,34.6346,27.7285,67.8,2.04,88.5,0.024,0.141,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2578.8,1.6840000000000002,34.6359,27.7301,67.9,2.06,89.6,0.024,0.11900000000000001,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2578.9,1.6909,34.6346,27.7285,67.7,2.04,88.6,0.024,0.134,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2579.2,1.6904,34.6347,27.7286,67.9,2.04,88.8,0.024,0.12,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2580.0,1.6902,34.6349,27.7288,67.8,2.04,88.8,0.024,0.11800000000000001,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2580.0,1.6905,34.6348,27.7287,67.9,2.04,88.7,0.024,0.13,
