File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,3,6.7659,31.4271,24.6615,57.0,6.64,289.2,1.705,71.3
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,4,6.7659,31.4267,24.6612,56.7,6.64,289.1,1.875,57.1
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,5,6.7658,31.4265,24.6611,56.8,6.63,288.8,2.225,48.5
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,6,6.7659,31.4268,24.6613,57.0,6.64,289.1,1.95,41.9
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,7,6.7664,31.429000000000002,24.663,57.3,6.63,289.0,1.7919999999999998,35.4
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,8,6.7662,31.4288,24.6628,56.8,6.64,289.2,1.776,28.9
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,9,6.7659,31.4278,24.6621,57.0,6.64,289.2,1.992,23.7
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,10,6.7661,31.4281,24.6623,56.9,6.62,288.6,1.7930000000000001,20.5
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,11,6.7665,31.4285,24.6626,57.0,6.63,288.7,1.6030000000000002,18.3
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,12,6.7669,31.4307,24.6642,57.1,6.62,288.5,1.564,16.2
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,13,6.7665,31.4349,24.6676,57.0,6.62,288.3,1.715,14.3
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,14,6.7664,31.4384,24.6704,57.2,6.59,287.2,1.7480000000000002,11.9
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,15,6.7664,31.4438,24.6746,57.4,6.58,286.9,1.744,9.6
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,16,6.7667,31.445999999999998,24.6763,57.4,6.57,286.0,1.615,8.4
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,17,6.7674,31.4486,24.6783,57.6,6.55,285.3,1.5919999999999999,8.0
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,18,6.7678,31.4502,24.6795,57.5,6.5,283.2,1.6480000000000001,7.1
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,19,6.7678,31.453000000000003,24.6817,57.6,6.48,282.3,1.65,6.3
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,20,6.7689,31.4599,24.686999999999998,57.6,6.51,283.5,1.7280000000000002,5.5
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,21,6.7748,31.482,24.7036,57.5,6.49,282.9,1.5930000000000002,4.7
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,22,6.7818,31.5052,24.721,57.6,6.45,281.1,1.569,4.1
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,23,6.7915,31.5166,24.7287,58.5,6.37,277.3,1.679,3.3
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,24,6.8001,31.5255,24.7346,58.5,6.37,277.4,1.4969999999999999,3.0
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,25,6.8098,31.5319,24.7384,58.5,6.32,275.2,1.308,2.7
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,26,6.8292,31.5416,24.7436,58.8,6.3,274.7,1.266,2.4
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,27,6.8453,31.5481,24.7466,59.0,6.29,273.9,1.235,2.2
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,28,6.8823,31.5668,24.7565,59.1,6.29,274.2,1.288,1.9
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,29,6.8916,31.5719,24.7593,59.2,6.32,275.4,1.3030000000000002,1.6
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,30,6.9216,31.5908,24.7703,59.3,6.2,270.1,1.194,1.4
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,31,6.9515,31.6113,24.7826,59.3,6.06,264.0,1.2570000000000001,1.3
2014-01-0007.ctd,UTC,11-02-14, 21:14,7,48.57617,-125.5045,P1,Mid-ship,32,7.0056,31.6584,24.8125,59.0,5.96,259.5,1.111,1.1
