File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2008-01-0046.ctd,UTC,09/02/2008, 03:34,46,49.99817,-145.00583,P26,2.0,4.957,32.6237,25.8222,56.3,7.08,308.1,0.655,
2008-01-0045.ctd,UTC,09/02/2008, 02:21,45,49.99883,-145.00349,P26,2.5,4.9025,32.6334,25.8358,56.4,7.11,309.4,0.731,37.0
2008-01-0045.ctd,UTC,09/02/2008, 02:21,45,49.99883,-145.00349,P26,3.0,4.9034,32.6335,25.8358,55.7,7.11,309.3,0.6920000000000001,32.5
2008-01-0047.ctd,UTC,10/02/2008, 16:13,47,50.00483,-145.00083999999998,P26,3.1,5.0204,32.6268,25.8176,57.6,6.98,303.9,0.627,
2008-01-0046.ctd,UTC,09/02/2008, 03:34,46,49.99817,-145.00583,P26,3.2,4.9574,32.6238,25.8222,57.6,7.08,308.2,0.649,
2008-01-0045.ctd,UTC,09/02/2008, 02:21,45,49.99883,-145.00349,P26,4.0,4.9032,32.6335,25.8358,55.6,7.11,309.3,0.662,26.3
2008-01-0046.ctd,UTC,09/02/2008, 03:34,46,49.99817,-145.00583,P26,4.0,4.9573,32.6238,25.8222,57.7,7.08,308.2,0.632,
2008-01-0047.ctd,UTC,10/02/2008, 16:13,47,50.00483,-145.00083999999998,P26,4.0,5.0215,32.6266,25.8173,53.6,7.0,304.5,0.648,
2008-01-0045.ctd,UTC,09/02/2008, 02:21,45,49.99883,-145.00349,P26,5.0,4.9028,32.6337,25.836,57.1,7.11,309.3,0.7070000000000001,22.1
2008-01-0046.ctd,UTC,09/02/2008, 03:34,46,49.99817,-145.00583,P26,5.0,4.9576,32.6235,25.8219,57.7,7.08,308.2,0.638,
2008-01-0047.ctd,UTC,10/02/2008, 16:13,47,50.00483,-145.00083999999998,P26,5.0,5.0237,32.6264,25.8169,48.8,7.0,304.5,0.635,
2008-01-0045.ctd,UTC,09/02/2008, 02:21,45,49.99883,-145.00349,P26,6.0,4.9023,32.6337,25.8361,56.3,7.11,309.3,0.72,18.8
2008-01-0046.ctd,UTC,09/02/2008, 03:34,46,49.99817,-145.00583,P26,6.0,4.9571,32.6239,25.8223,58.0,7.08,308.3,0.64,
2008-01-0047.ctd,UTC,10/02/2008, 16:13,47,50.00483,-145.00083999999998,P26,6.0,5.024,32.6263,25.8168,49.2,7.0,304.5,0.629,
2008-01-0047.ctd,UTC,10/02/2008, 16:13,47,50.00483,-145.00083999999998,P26,6.9,5.0235,32.6266,25.8171,51.6,6.99,304.4,0.622,
2008-01-0045.ctd,UTC,09/02/2008, 02:21,45,49.99883,-145.00349,P26,7.0,4.9022,32.6336,25.836,57.3,7.1,309.2,0.68,16.4
2008-01-0046.ctd,UTC,09/02/2008, 03:34,46,49.99817,-145.00583,P26,7.0,4.9571,32.624,25.8224,57.9,7.08,308.3,0.655,
2008-01-0045.ctd,UTC,09/02/2008, 02:21,45,49.99883,-145.00349,P26,8.0,4.9005,32.6339,25.8364,57.4,7.1,309.1,0.6609999999999999,14.6
