File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,2.0,12.9376,32.5184,24.5095,53.9,6.24,272.1,1.984,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,3.0,12.9383,32.5183,24.5092,53.9,6.24,272.1,1.9580000000000002,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,4.1,12.9381,32.5184,24.5094,53.9,6.26,272.9,1.932,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,4.1,12.9648,32.5159,24.5022,52.4,6.28,273.8,1.483,227.5
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,4.4,12.9152,32.5253,24.5192,53.2,6.27,273.3,2.472,
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,5.0,12.917,32.5253,24.5188,53.2,6.28,273.6,2.449,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,5.0,12.9382,32.5184,24.5093,53.9,6.29,273.9,2.011,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,5.0,12.9655,32.5158,24.502,52.3,6.26,272.6,1.5330000000000001,205.7
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,5.9,12.9169,32.5255,24.519000000000002,53.2,6.28,273.7,2.411,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,6.0,12.937999999999999,32.5184,24.5094,53.9,6.3,274.5,2.0180000000000002,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,6.0,12.966,32.516,24.502,52.3,6.26,272.7,1.587,178.5
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,6.0,13.0751,32.4753,24.4491,52.5,6.3,274.6,0.625,425.5
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,7.0,12.9381,32.5188,24.5097,53.9,6.3,274.6,2.015,
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,7.0,13.0459,32.4861,24.4632,52.4,6.32,275.2,0.6459999999999999,413.2
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,7.1,12.9166,32.5255,24.5191,53.2,6.3,274.5,2.39,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,7.1,12.9653,32.5161,24.5023,52.3,6.28,273.8,1.653,143.2
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,7.9,12.9167,32.5256,24.5191,53.2,6.33,275.9,2.299,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,7.9,12.9633,32.5161,24.5026,52.3,6.31,274.8,1.8019999999999998,127.4
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,8.0,12.9388,32.5189,24.5096,53.8,6.3,274.6,2.029,
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,8.0,12.9983,32.4999,24.4833,52.2,6.32,275.5,0.7020000000000001,354.3
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,9.0,12.9172,32.5254,24.5189,53.2,6.34,276.3,2.336,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,9.0,12.9396,32.5184,24.5091,53.9,6.3,274.5,2.051,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,9.0,12.9628,32.5161,24.5027,52.4,6.31,275.1,1.8719999999999999,116.2
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,9.0,12.9839,32.5058,24.4906,52.1,6.32,275.4,0.7490000000000001,307.5
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,9.7,12.9778,32.5078,24.4934,51.9,6.32,275.3,0.7659999999999999,293.0
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,10.0,12.9174,32.5256,24.519000000000002,53.2,6.33,276.0,2.411,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,10.0,12.9389,32.5185,24.5093,53.9,6.28,273.9,2.079,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,10.0,12.9646,32.516,24.5023,52.3,6.31,275.1,1.925,107.1
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,10.9,12.967,32.5127,24.4993,52.0,6.28,273.8,1.146,275.6
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,11.0,12.9178,32.5255,24.5188,53.2,6.33,275.9,2.439,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,11.0,12.9386,32.5186,24.5094,54.1,6.26,272.9,2.079,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,11.0,12.9635,32.5162,24.5027,52.3,6.31,275.0,1.959,95.2
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,11.9,12.9571,32.5166,24.5042,52.1,6.28,273.7,1.5919999999999999,258.7
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,12.0,12.918,32.5255,24.5188,53.3,6.32,275.6,2.467,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,12.0,12.9408,32.5183,24.5088,53.9,6.24,272.1,2.026,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,12.0,12.9609,32.5163,24.5033,52.3,6.3,274.7,1.984,82.4
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,12.9,12.9178,32.5255,24.5188,53.2,6.3,274.4,2.37,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,13.0,12.9418,32.5182,24.5085,53.8,6.25,272.3,2.0540000000000003,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,13.0,12.9586,32.5164,24.5038,52.4,6.3,274.4,1.994,72.7
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,13.2,12.954,32.5173,24.5054,52.2,6.27,273.2,1.709,225.1
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,14.0,12.9172,32.5255,24.5189,53.2,6.28,273.6,2.273,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,14.0,12.9418,32.5181,24.5084,53.8,6.26,272.6,2.075,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,14.0,12.9596,32.5163,24.5035,52.5,6.28,273.8,2.015,66.7
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,14.0,12.9527,32.5178,24.506,52.2,6.27,273.1,1.785,202.6
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,15.0,12.9169,32.5255,24.519000000000002,53.2,6.29,273.9,2.266,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,15.0,12.9412,32.5182,24.5086,53.9,6.25,272.4,2.104,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,15.0,12.9593,32.5163,24.5036,52.4,6.28,273.6,2.0140000000000002,62.5
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,15.0,12.9462,32.5193,24.5085,52.3,6.27,273.2,1.864,183.6
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,16.0,12.9165,32.5256,24.5192,53.2,6.3,274.4,2.306,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,16.0,12.9409,32.5184,24.5088,53.9,6.25,272.2,2.129,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,16.0,12.9605,32.5163,24.5034,52.4,6.27,273.4,2.015,59.3
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,16.0,12.9421,32.5196,24.5095,52.5,6.27,273.1,1.895,169.4
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,17.0,12.9164,32.5256,24.5192,53.2,6.3,274.5,2.32,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,17.0,12.9411,32.5183,24.5087,53.9,6.25,272.3,2.114,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,17.0,12.9586,32.5163,24.5037,52.5,6.28,273.5,2.028,54.5
2011-27-0073.ctd,UTC,26/08/2011, 23:40,73,50.0015,-145.00383,P26,Mid-ship,17.0,12.9419,32.5197,24.5096,52.5,6.28,273.4,1.946,152.5
2011-27-0067.ctd,UTC,26/08/2011, 10:04,67,50.00033,-144.99966,P26,Mid-ship,18.0,12.9161,32.5256,24.5192,52.6,6.3,274.7,2.3680000000000003,
2011-27-0070.ctd,UTC,26/08/2011, 16:23,70,49.99967,-144.99983,P26,Mid-ship,18.0,12.9411,32.5184,24.5088,53.9,6.26,272.8,2.133,
2011-27-0071.ctd,UTC,26/08/2011, 20:58,71,49.998999999999995,-144.99899,P26,Mid-ship,18.0,12.954,32.5165,24.5048,52.5,6.28,273.6,2.045,49.5
