File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2010-13-0067.ctd,UTC,17/06/2010, 03:38,67,49.99866,-144.99966,P26,2.2,7.6257,32.7087,25.5541,48.7,6.85,298.3,0.7759999999999999,
2010-13-0052.ctd,UTC,14/06/2010, 08:49,52,49.99967,-144.99817,P26,3.0,7.3019,32.7089,25.5993,49.9,7.01,305.2,0.961,
2010-13-0067.ctd,UTC,17/06/2010, 03:38,67,49.99866,-144.99966,P26,3.1,7.6265,32.7088,25.5541,48.6,6.86,298.5,0.855,
2010-13-0050.ctd,UTC,14/06/2010, 03:01,50,50.0005,-144.99583,P26,3.2,7.3144,32.7092,25.5978,48.9,7.03,306.2,0.701,
2010-13-0051.ctd,UTC,14/06/2010, 07:11,51,50.0,-144.99833999999998,P26,3.4,7.3037,32.7096,25.5996,49.8,7.01,305.3,0.96,
2010-13-0050.ctd,UTC,14/06/2010, 03:01,50,50.0005,-144.99583,P26,3.9,7.3143,32.7095,25.598000000000003,49.4,7.03,306.0,0.72,
2010-13-0051.ctd,UTC,14/06/2010, 07:11,51,50.0,-144.99833999999998,P26,3.9,7.3049,32.7093,25.5992,49.8,7.02,305.7,0.953,
2010-13-0067.ctd,UTC,17/06/2010, 03:38,67,49.99866,-144.99966,P26,3.9,7.6278,32.7089,25.554000000000002,48.8,6.85,298.0,0.872,
2010-13-0052.ctd,UTC,14/06/2010, 08:49,52,49.99967,-144.99817,P26,4.0,7.3023,32.7089,25.5992,50.1,7.0,304.8,0.998,
2010-13-0069.ctd,UTC,17/06/2010, 07:37,69,50.0,-144.99899,P26,4.1,7.6173,32.709,25.5555,49.7,6.85,298.1,0.9690000000000001,
2010-13-0049.ctd,UTC,13/06/2010, 22:36,49,50.000170000000004,-144.99767,P26,4.3,7.2743,32.7095,25.6035,50.0,7.02,305.6,0.26,
2010-13-0068.ctd,UTC,17/06/2010, 05:49,68,49.99917,-145.0,P26,4.3,7.6129999999999995,32.709,25.5561,49.2,6.85,298.1,0.919,
2010-13-0065.ctd,UTC,17/06/2010, 01:41,65,49.9995,-144.9995,P26,4.4,7.6378,32.7088,25.5525,48.8,6.84,297.8,0.25,2946.7
