File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,3.3,13.6903,32.5915,24.416,30.2,6.26,272.5,1.58,36.6
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,4.0,13.7043,32.5909,24.4127,30.1,6.24,271.7,1.518,31.4
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,5.4,13.7083,32.5917,24.4125,30.1,6.27,273.2,1.587,20.9
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,5.9,13.7044,32.591,24.4128,29.9,6.27,272.9,1.617,19.0
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,7.0,13.6623,32.5975,24.4264,30.2,6.19,269.5,1.5930000000000002,14.7
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,8.0,13.5801,32.6016,24.4462,31.2,6.1,265.7,1.4909999999999999,11.2
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,9.0,13.3722,32.5995,24.4863,32.0,5.98,260.7,1.416,8.7
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,10.0,13.1272,32.5611,24.5053,32.8,5.82,253.9,1.4369999999999998,6.8
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,11.0,12.7955,32.568000000000005,24.5756,33.8,5.62,244.9,1.389,5.4
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,12.0,12.3737,32.5559,24.6472,35.1,5.09,222.1,1.301,4.3
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,13.0,11.9266,32.5364,24.7161,36.3,4.59,200.1,1.251,3.5
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,14.0,11.1902,32.5124,24.8313,37.7,4.19,182.4,1.25,2.8
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,15.0,10.6686,32.6098,24.9987,38.9,3.78,164.8,1.216,2.3
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,16.0,10.0853,32.698,25.1667,41.3,3.58,155.6,1.117,1.8
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,17.0,9.4355,32.8859,25.4199,42.8,3.42,148.7,0.9359999999999999,1.6
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,17.9,9.3658,32.8809,25.4272,43.4,3.28,143.0,0.857,1.4
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,19.0,9.158,32.9588,25.5212,44.0,3.18,138.6,0.7979999999999999,1.2
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,20.0,8.9869,32.9867,25.5699,44.3,3.12,136.2,0.7190000000000001,1.0
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,21.1,8.8403,33.0187,25.6177,44.4,3.08,134.1,0.652,0.9
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,21.9,8.6681,33.0813,25.6933,44.8,2.99,130.2,0.594,0.7
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,22.9,8.2968,33.183,25.8291,45.3,2.68,116.5,0.503,0.6
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,24.0,8.0264,33.2634,25.9322,45.5,2.61,113.7,0.431,0.6
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,25.0,7.997000000000001,33.2728,25.9439,45.6,2.58,112.3,0.375,0.6
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,26.0,7.9428,33.2926,25.9673,45.6,2.55,111.2,0.354,0.5
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,27.0,7.9024,33.3045,25.9825,45.6,2.54,110.4,0.33799999999999997,0.5
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,28.0,7.8611,33.3149,25.9967,45.7,2.51,109.3,0.311,0.4
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,29.1,7.8352,33.3236,26.0073,45.8,2.45,106.7,0.265,0.4
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,30.0,7.7752,33.3457,26.0333,45.9,2.4,104.7,0.24,0.3
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,31.0,7.7548,33.3544,26.0431,45.9,2.39,104.3,0.22899999999999998,0.3
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,32.0,7.7423,33.365,26.0532,45.9,2.4,104.7,0.226,0.3
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,33.0,7.7344,33.369,26.0575,45.8,2.4,104.7,0.21899999999999997,0.3
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,34.0,7.7333,33.3709,26.0591,45.8,2.39,104.3,0.22,0.2
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,35.0,7.7287,33.3725,26.061,45.7,2.39,104.0,0.21100000000000002,0.2
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,36.1,7.7164,33.3778,26.066999999999997,45.8,2.37,103.4,0.205,0.2
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,36.9,7.7021,33.3841,26.074,45.7,2.29,99.4,0.198,0.2
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,38.0,7.6363,33.4116,26.105,46.1,2.17,94.2,0.19399999999999998,0.2
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,39.0,7.5895,33.4266,26.1234,46.5,2.14,92.9,0.18899999999999997,0.1
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,40.0,7.5786,33.431,26.1284,46.5,2.13,92.5,0.193,0.1
2009-10-0005.ctd,UTC,20/08/2009, 15:39,5,48.577329999999996,-125.50034,P1,Mid-ship,41.0,7.5706,33.4338,26.1318,46.6,2.12,92.2,0.188,0.1
