File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,0.4,9.0848,31.4863,24.3809,,6.33,275.9,0.8290000000000001,,0.3
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,1.0,9.0932,31.4851,24.3786,,6.31,275.0,0.821,,0.1
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,1.9,9.0946,31.4892,24.3816,,6.28,273.9,0.823,,0.1
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,2.8,9.0629,31.5162,24.4076,,6.23,271.5,0.845,,0.1
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,4.0,8.9655,31.5623,24.4586,,6.14,267.6,0.79,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,5.1,8.6163,31.6739,24.5987,,6.01,261.8,0.6729999999999999,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,6.0,8.6678,31.7524,24.6525,,6.0,261.5,0.602,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,7.0,8.6948,31.7723,24.664,,6.04,263.1,0.526,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,8.0,8.6982,31.7786,24.6684,,6.06,263.9,0.501,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,9.1,8.7355,31.8021,24.6812,,6.07,264.5,0.5,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,10.0,8.7572,31.8327,24.7019,,6.08,264.8,0.465,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,11.0,8.7387,31.8536,24.721,,6.04,263.0,0.457,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,12.1,8.6893,31.8556,24.73,,6.01,262.0,0.46799999999999997,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,13.0,8.6946,31.873,24.7429,,6.02,262.1,0.457,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,14.0,8.806000000000001,31.9195,24.7624,,6.03,262.5,0.465,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,15.0,8.847000000000001,31.9358,24.7689,,6.05,263.8,0.48100000000000004,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,16.0,8.8718,31.9431,24.7709,,6.09,265.1,0.43700000000000006,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,17.0,8.906,31.9552,24.7751,,6.1,265.7,0.452,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,17.8,8.9331,31.963,24.7771,,6.1,265.6,0.462,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,19.2,8.9726,31.9756,24.7809,,6.14,267.6,0.48,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,20.0,8.9951,31.9817,24.7822,,6.16,268.4,0.47200000000000003,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,21.0,9.0209,31.9959,24.7893,,6.17,269.0,0.48200000000000004,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,22.0,9.0349,32.0207,24.8065,,6.17,268.9,0.46399999999999997,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,23.0,9.065,32.0412,24.8179,,6.17,268.7,0.45799999999999996,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,24.0,9.0818,32.0553,24.8263,,6.16,268.4,0.46,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,25.0,9.071,32.0553,24.828000000000003,,6.15,267.8,0.494,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,26.0,9.0595,32.0586,24.8324,,6.13,267.2,0.44299999999999995,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,27.0,9.0589,32.064,24.8367,,6.13,267.0,0.431,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,28.2,9.0824,32.0794,24.8451,,6.15,268.0,0.48200000000000004,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,29.0,9.1223,32.0967,24.8524,,6.17,268.8,0.446,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,30.0,9.141,32.1066,24.8573,,6.18,269.2,0.426,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,31.0,9.1511,32.114000000000004,24.8615,,6.18,269.1,0.431,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,32.0,9.154,32.1239,24.8688,,6.17,268.9,0.435,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,33.0,9.169,32.1348,24.8749,,6.18,269.1,0.455,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,33.9,9.1815,32.1423,24.8789,,6.18,269.3,0.442,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,37.0,9.2361,32.1695,24.8916,,6.23,271.2,0.493,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,38.0,9.2511,32.1781,24.8959,,6.22,270.9,0.547,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,39.0,9.2569,32.1826,24.8985,,6.21,270.5,0.513,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,40.0,9.2459,32.1824,24.9001,,6.21,270.5,0.493,,0.0
2017-01-0106.ctd,UTC,19-02-17, 03:12,106,48.576,-125.5,P1,Mid-ship,41.0,9.2276,32.1841,24.9043,,6.22,270.9,0.474,,0.0
