File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2013-18-0083.ctd,UTC,31-08-13, 11:34,83,50.0,-145.0015,P26,Mid-ship,3,14.9253,32.3708,23.9882,57.9,5.94,258.9,0.53,
2013-18-0085.ctd,UTC,31-08-13, 17:03,85,49.998999999999995,-144.99983,P26,Mid-ship,3,14.8461,32.3641,23.9999,56.7,5.93,258.8,0.35,449.4
2013-18-0089.ctd,UTC,31-08-13, 20:02,89,49.99967,-144.99933000000001,P26,Mid-ship,3,14.9374,32.367,23.9826,57.1,5.92,258.2,0.188,
2013-18-0077.ctd,UTC,30-08-13, 23:12,77,50.00033,-144.99884,P26,Mid-ship,4,14.8239,32.3644,24.0049,57.7,5.95,259.6,0.19899999999999998,966.7
2013-18-0083.ctd,UTC,31-08-13, 11:34,83,50.0,-145.0015,P26,Mid-ship,4,14.9267,32.3709,23.9879,57.9,5.92,258.3,0.528,
2013-18-0085.ctd,UTC,31-08-13, 17:03,85,49.998999999999995,-144.99983,P26,Mid-ship,4,14.845999999999998,32.3642,24.0,56.6,5.94,259.0,0.35600000000000004,365.3
2013-18-0077.ctd,UTC,30-08-13, 23:12,77,50.00033,-144.99884,P26,Mid-ship,5,14.8069,32.3631,24.0075,57.6,5.95,259.4,0.209,882.6
2013-18-0079.ctd,UTC,31-08-13, 03:10,79,49.9985,-144.99899,P26,Mid-ship,5,15.2365,32.3661,23.9174,56.9,5.92,258.2,0.449,
2013-18-0083.ctd,UTC,31-08-13, 11:34,83,50.0,-145.0015,P26,Mid-ship,5,14.9267,32.3709,23.9879,57.7,5.93,258.7,0.534,
2013-18-0085.ctd,UTC,31-08-13, 17:03,85,49.998999999999995,-144.99983,P26,Mid-ship,5,14.845999999999998,32.3643,24.0001,56.7,5.93,258.4,0.36,311.9
2013-18-0089.ctd,UTC,31-08-13, 20:02,89,49.99967,-144.99933000000001,P26,Mid-ship,5,14.9142,32.3667,23.9874,57.1,5.95,259.5,0.209,
2013-18-0077.ctd,UTC,30-08-13, 23:12,77,50.00033,-144.99884,P26,Mid-ship,6,14.8187,32.3636,24.0054,57.6,5.93,258.7,0.21100000000000002,855.8
2013-18-0078.ctd,UTC,31-08-13, 01:16,78,50.00117,-144.99833999999998,P26,Mid-ship,6,15.0914,32.3621,23.9457,57.2,5.96,259.7,0.265,527.5
2013-18-0079.ctd,UTC,31-08-13, 03:10,79,49.9985,-144.99899,P26,Mid-ship,6,15.344000000000001,32.3672,23.8949,57.0,5.89,256.6,0.44,
2013-18-0083.ctd,UTC,31-08-13, 11:34,83,50.0,-145.0015,P26,Mid-ship,6,14.931,32.3707,23.9869,58.0,5.92,258.1,0.536,
2013-18-0085.ctd,UTC,31-08-13, 17:03,85,49.998999999999995,-144.99983,P26,Mid-ship,6,14.8463,32.3643,24.0,56.7,5.94,258.9,0.35700000000000004,319.9
2013-18-0089.ctd,UTC,31-08-13, 20:02,89,49.99967,-144.99933000000001,P26,Mid-ship,6,14.9126,32.3665,23.9876,56.9,5.95,259.2,0.209,
2013-18-0078.ctd,UTC,31-08-13, 01:16,78,50.00117,-144.99833999999998,P26,Mid-ship,7,14.9373,32.3626,23.9793,57.2,5.94,258.8,0.272,471.1
2013-18-0079.ctd,UTC,31-08-13, 03:10,79,49.9985,-144.99899,P26,Mid-ship,7,15.267000000000001,32.3664,23.910999999999998,56.9,5.93,258.4,0.44299999999999995,
2013-18-0083.ctd,UTC,31-08-13, 11:34,83,50.0,-145.0015,P26,Mid-ship,7,14.9316,32.3709,23.9869,57.9,5.92,258.1,0.527,
2013-18-0085.ctd,UTC,31-08-13, 17:03,85,49.998999999999995,-144.99983,P26,Mid-ship,7,14.8462,32.3643,24.0001,56.7,5.94,258.9,0.366,323.6
2013-18-0089.ctd,UTC,31-08-13, 20:02,89,49.99967,-144.99933000000001,P26,Mid-ship,7,14.9109,32.3664,23.9879,56.9,5.94,258.9,0.209,
2013-18-0078.ctd,UTC,31-08-13, 01:16,78,50.00117,-144.99833999999998,P26,Mid-ship,8,14.8747,32.3616,23.9919,57.1,5.92,258.2,0.273,495.3
2013-18-0079.ctd,UTC,31-08-13, 03:10,79,49.9985,-144.99899,P26,Mid-ship,8,14.8801,32.3636,23.9923,56.8,5.95,259.5,0.44799999999999995,
2013-18-0083.ctd,UTC,31-08-13, 11:34,83,50.0,-145.0015,P26,Mid-ship,8,14.9249,32.3707,23.9882,57.9,5.95,259.2,0.5379999999999999,
2013-18-0085.ctd,UTC,31-08-13, 17:03,85,49.998999999999995,-144.99983,P26,Mid-ship,8,14.8462,32.3644,24.0001,56.7,5.94,259.1,0.35600000000000004,293.1
2013-18-0089.ctd,UTC,31-08-13, 20:02,89,49.99967,-144.99933000000001,P26,Mid-ship,8,14.9101,32.3664,23.988000000000003,57.0,5.93,258.4,0.213,
2013-18-0077.ctd,UTC,30-08-13, 23:12,77,50.00033,-144.99884,P26,Mid-ship,9,14.7801,32.3631,24.0132,57.7,5.93,258.5,0.226,588.7
2013-18-0078.ctd,UTC,31-08-13, 01:16,78,50.00117,-144.99833999999998,P26,Mid-ship,9,14.8407,32.3612,23.9988,56.8,5.98,260.7,0.29100000000000004,394.3
2013-18-0079.ctd,UTC,31-08-13, 03:10,79,49.9985,-144.99899,P26,Mid-ship,9,14.8481,32.3613,23.9973,56.5,5.96,260.0,0.456,
2013-18-0083.ctd,UTC,31-08-13, 11:34,83,50.0,-145.0015,P26,Mid-ship,9,14.9057,32.3704,23.991999999999997,57.9,5.94,259.0,0.555,
2013-18-0085.ctd,UTC,31-08-13, 17:03,85,49.998999999999995,-144.99983,P26,Mid-ship,9,14.8457,32.3643,24.0002,56.7,5.93,258.4,0.384,254.1
2013-18-0089.ctd,UTC,31-08-13, 20:02,89,49.99967,-144.99933000000001,P26,Mid-ship,9,14.8926,32.3666,23.9919,56.9,5.94,259.1,0.22399999999999998,
2013-18-0077.ctd,UTC,30-08-13, 23:12,77,50.00033,-144.99884,P26,Mid-ship,10,14.7712,32.3636,24.0155,57.5,5.94,259.1,0.22899999999999998,735.6
2013-18-0078.ctd,UTC,31-08-13, 01:16,78,50.00117,-144.99833999999998,P26,Mid-ship,10,14.8204,32.3609,24.003,56.5,5.98,260.9,0.295,371.2
2013-18-0079.ctd,UTC,31-08-13, 03:10,79,49.9985,-144.99899,P26,Mid-ship,10,14.8187,32.3602,24.0028,56.5,5.96,259.9,0.45399999999999996,
2013-18-0083.ctd,UTC,31-08-13, 11:34,83,50.0,-145.0015,P26,Mid-ship,10,14.8252,32.3687,24.0079,57.9,5.95,259.6,0.5539999999999999,
2013-18-0085.ctd,UTC,31-08-13, 17:03,85,49.998999999999995,-144.99983,P26,Mid-ship,10,14.8449,32.364000000000004,24.0001,56.7,5.91,257.7,0.424,230.0
