File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,2.4,12.5278,31.1607,23.5369,13.5,9.48,413.5,1.864,1370.0
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,3.1,12.4454,31.1676,23.5577,13.0,9.47,413.0,2.291,1051.5
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,3.9,12.3266,31.1778,23.5879,12.8,9.43,411.2,3.301,814.7
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,5.0,12.2133,31.1871,23.6162,11.9,9.36,408.2,5.505,485.0
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,6.0,12.1085,31.1954,23.6421,13.2,9.29,405.3,8.562999999999999,292.3
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,7.0,12.0355,31.2059,23.6637,12.0,9.2,401.3,11.497,175.8
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,8.0,11.9724,31.2176,23.6843,11.4,9.07,395.6,12.93,101.0
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,9.0,11.8989,31.2265,23.7047,11.5,8.86,386.5,13.706,54.5
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,10.0,11.764000000000001,31.2589,23.7544,12.0,8.49,370.5,14.852,31.4
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,11.0,11.2021,31.3664,23.9382,11.9,7.96,346.9,15.100999999999999,20.3
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,12.0,10.6339,31.4719,24.1186,13.7,7.45,324.6,14.456,14.3
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,13.0,10.5146,31.505,24.1646,15.8,7.07,308.1,12.35,9.9
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,13.9,10.4478,31.5331,24.1977,20.3,6.84,298.2,10.799000000000001,5.8
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,15.0,10.3988,31.5563,24.224,24.0,6.71,292.3,9.532,3.4
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,16.0,10.3602,31.5736,24.244,25.6,6.61,288.1,8.575,2.2
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,17.0,10.3213,31.5904,24.2636,26.7,6.53,284.4,8.152999999999999,1.6
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,18.0,10.2742,31.6095,24.2863,28.2,6.45,281.2,7.71,1.3
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,18.9,10.2491,31.6223,24.3005,29.6,6.4,278.9,7.307,1.1
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,20.0,10.24,31.636,24.3127,30.5,6.3,274.5,7.098,0.9
2017-06-0008.ctd,UTC,05-06-17, 19:40,8,48.57567,-125.50017,P1,Mid-ship,21.0,10.1105,31.6777,24.3667,30.2,6.08,265.2,6.33,0.7
