File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,4,8.2094,30.2807,23.5664,54.1,6.76,295.0,0.767,58.7
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,5,8.2081,30.2813,23.5671,54.0,6.71,292.6,0.7809999999999999,54.7
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,6,8.2047,30.2841,23.5697,54.3,6.61,288.4,0.738,46.1
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,7,8.2019,30.2865,23.572,54.0,6.58,286.9,0.762,35.7
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,8,8.1453,30.4259,23.6893,53.7,6.53,284.9,0.711,29.8
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,9,8.1266,30.5105,23.7582,53.5,6.46,281.5,0.705,25.6
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,10,8.0983,30.5814,23.8178,52.8,6.27,273.5,0.727,18.3
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,11,8.0804,30.644000000000002,23.8694,52.9,6.19,270.1,0.722,16.5
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,12,8.0357,30.7757,23.979,51.9,6.08,265.1,0.7609999999999999,14.2
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,13,8.0222,30.819000000000003,24.0148,52.9,5.97,260.5,0.91,12.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,14,8.0068,30.8762,24.0619,52.8,5.86,255.3,0.785,9.9
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,15,7.9682,31.0028,24.1666,52.7,5.67,247.2,0.6629999999999999,8.1
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,16,7.9466,31.0724,24.2242,52.7,5.44,237.2,0.695,6.8
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,17,7.8959,31.1653,24.3042,52.8,5.28,229.9,0.672,5.9
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,18,7.8141,31.3172,24.4349,52.2,5.19,226.0,0.685,5.4
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,19,7.7662,31.4179,24.5206,51.5,5.16,224.7,0.652,4.9
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,20,7.7412,31.4762,24.5699,51.3,5.15,224.2,0.574,4.3
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,21,7.7173,31.531999999999996,24.616999999999997,51.0,5.14,224.0,0.506,3.8
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,22,7.7142,31.541,24.6245,50.9,5.14,223.8,0.49,3.4
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,23,7.7141,31.5418,24.6251,51.3,5.13,223.4,0.45299999999999996,3.2
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,24,7.7136,31.5442,24.6271,51.3,5.11,222.6,0.442,2.9
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,25,7.7119,31.5482,24.6305,51.4,5.05,220.3,0.441,2.5
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,26,7.7113,31.5502,24.6321,51.6,5.0,217.9,0.434,2.2
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,27,7.7049,31.5649,24.6445,51.4,4.96,216.2,0.41200000000000003,1.9
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,28,7.6854,31.6027,24.6769,51.4,4.93,214.6,0.384,1.7
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,29,7.6852,31.6091,24.682,50.8,4.89,213.2,0.402,1.5
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,30,7.6764,31.6232,24.6943,51.0,4.87,212.1,0.406,1.4
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,31,7.6659,31.6478,24.7151,50.9,4.84,211.1,0.377,1.2
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,32,7.6776,31.6816,24.74,50.8,4.82,210.1,0.344,1.1
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,33,7.683,31.6996,24.7534,51.1,4.81,209.5,0.295,0.9
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,34,7.6832,31.7206,24.7698,51.9,4.8,208.9,0.272,0.8
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,35,7.6842,31.7408,24.7856,52.0,4.77,207.7,0.27,0.7
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,36,7.6839,31.7471,24.7905,52.6,4.73,206.0,0.256,0.6
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,37,7.6855,31.7554,24.7968,52.6,4.69,204.2,0.244,0.6
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,38,7.6783,31.7912,24.826,52.5,4.67,203.3,0.247,0.5
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,39,7.6696,31.8342,24.8609,52.6,4.66,203.1,0.21899999999999997,0.4
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,40,7.6795,31.8772,24.8933,52.6,4.66,202.9,0.213,0.4
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,41,7.682,31.8816,24.8964,52.7,4.66,203.0,0.213,0.3
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,42,7.6866,31.8894,24.9019,52.8,4.66,202.9,0.204,0.3
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,43,7.6893,31.8977,24.9081,52.8,4.65,202.5,0.2,0.3
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,44,7.691,31.9047,24.9133,52.9,4.63,201.7,0.20800000000000002,0.2
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,45,7.6956,31.9337,24.9355,53.0,4.6,200.4,0.207,0.2
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,46,7.6976,31.9513,24.949,52.9,4.58,199.6,0.20600000000000002,0.2
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,47,7.699,31.9623,24.9575,52.8,4.57,199.2,0.218,0.2
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,48,7.702000000000001,31.9992,24.986,52.9,4.57,198.9,0.222,0.2
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,49,7.7029,32.0195,25.0018,53.0,4.56,198.8,0.204,0.1
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,50,7.7029,32.0224,25.0041,53.1,4.56,198.4,0.19699999999999998,0.1
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,51,7.7027,32.0264,25.0073,53.1,4.53,197.5,0.198,0.1
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,52,7.7025,32.0307,25.0107,52.9,4.53,197.1,0.196,0.1
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,53,7.7016,32.0611,25.0347,53.0,4.5,196.2,0.18600000000000003,0.1
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,54,7.7015,32.0907,25.0579,52.9,4.49,195.5,0.18600000000000003,0.1
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,55,7.7012,32.1078,25.0714,52.9,4.47,194.8,0.184,0.1
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,56,7.7011,32.1125,25.0751,53.0,4.45,193.9,0.185,0.1
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,57,7.7029,32.1232,25.0833,52.9,4.44,193.5,0.182,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,58,7.7086,32.1619,25.1129,53.1,4.44,193.3,0.183,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,59,7.7196,32.2022,25.143,53.1,4.46,194.1,0.179,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,60,7.7229,32.2294,25.1639,53.2,4.52,196.7,0.18600000000000003,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,61,7.7203,32.3042,25.223000000000003,53.2,4.58,199.6,0.19,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,62,7.7312,32.3638,25.2683,53.2,4.63,201.6,0.193,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,63,7.7466,32.3731,25.2734,53.1,4.65,202.3,0.23399999999999999,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,64,7.8254,32.4093,25.2906,53.1,4.66,202.7,0.20800000000000002,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,65,7.9583,32.461,25.3122,53.4,4.69,204.2,0.196,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,66,8.0758,32.508,25.3321,55.4,4.87,212.1,0.18899999999999997,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,67,8.1125,32.5371,25.3496,56.0,4.89,212.8,0.19399999999999998,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,68,8.1733,32.5639,25.3617,56.6,4.89,213.0,0.19399999999999998,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,69,8.195,32.5783,25.3699,57.1,4.89,212.9,0.196,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,70,8.2434,32.6144,25.3911,57.6,4.87,211.9,0.195,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,71,8.2805,32.6607,25.4219,58.0,4.82,209.9,0.184,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,72,8.3043,32.7059,25.4538,58.5,4.73,206.0,0.18600000000000003,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,73,8.2937,32.7199,25.4664,58.9,4.62,201.3,0.18,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,74,8.2568,32.7309,25.4805,58.9,4.56,198.3,0.183,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,75,8.1636,32.7597,25.5168,58.7,4.52,196.9,0.18899999999999997,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,76,8.0454,32.8358,25.5938,58.1,4.51,196.3,0.182,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,77,8.0131,32.8741,25.6285,57.2,4.49,195.4,0.175,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,78,8.0069,32.896,25.6466,56.8,4.46,194.3,0.17,0.0
2013-01-0078.ctd,UTC,17-02-13, 23:30,78,48.57683,-125.50034,P1,Mid-ship,79,8.0094,32.9092,25.6566,56.9,4.45,193.9,0.17300000000000001,0.0
