File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2014-18-0074.ctd,UTC,17/06/2014, 21:30,74,50.0005,-144.99916000000002,P26,Mid-ship,2,10.3247,32.376,24.8753,60.5,6.59,287.1,0.183,1620.1
2014-18-0077.ctd,UTC,18/06/2014, 02:41,77,50.0,-144.99884,P26,Mid-ship,2,10.4292,32.3889,24.8677,60.3,6.59,287.0,0.6759999999999999,
2014-18-0083.ctd,UTC,19/06/2014, 11:37,83,50.00067,-144.9985,P26,Mid-ship,2,10.5303,32.3886,24.8502,60.9,6.54,284.9,0.83,
2014-18-0072.ctd,UTC,17/06/2014, 12:32,72,50.0005,-144.9995,P26,Mid-ship,3,10.6757,32.3727,24.8128,59.8,6.55,285.3,1.109,
2014-18-0074.ctd,UTC,17/06/2014, 21:30,74,50.0005,-144.99916000000002,P26,Mid-ship,3,10.3246,32.3758,24.8752,60.8,6.59,287.3,0.16899999999999998,364.0
2014-18-0077.ctd,UTC,18/06/2014, 02:41,77,50.0,-144.99884,P26,Mid-ship,3,10.4293,32.389,24.8677,60.6,6.59,287.2,0.512,
2014-18-0078.ctd,UTC,18/06/2014, 07:17,78,49.999829999999996,-144.99916000000002,P26,Mid-ship,3,10.3871,32.3811,24.8687,60.9,6.6,287.5,0.934,
2014-18-0083.ctd,UTC,19/06/2014, 11:37,83,50.00067,-144.9985,P26,Mid-ship,3,10.5304,32.3891,24.8506,60.9,6.54,284.9,0.835,
2014-18-0072.ctd,UTC,17/06/2014, 12:32,72,50.0005,-144.9995,P26,Mid-ship,4,10.6761,32.3727,24.8127,59.6,6.55,285.3,1.112,
2014-18-0074.ctd,UTC,17/06/2014, 21:30,74,50.0005,-144.99916000000002,P26,Mid-ship,4,10.3251,32.3759,24.8752,61.0,6.6,287.5,0.156,407.6
2014-18-0077.ctd,UTC,18/06/2014, 02:41,77,50.0,-144.99884,P26,Mid-ship,4,10.429,32.3891,24.8678,61.0,6.59,287.0,0.48100000000000004,
2014-18-0078.ctd,UTC,18/06/2014, 07:17,78,49.999829999999996,-144.99916000000002,P26,Mid-ship,4,10.3881,32.3813,24.8687,60.8,6.6,287.5,0.8390000000000001,
2014-18-0083.ctd,UTC,19/06/2014, 11:37,83,50.00067,-144.9985,P26,Mid-ship,4,10.5331,32.3894,24.8503,60.8,6.54,284.7,0.8390000000000001,
2014-18-0072.ctd,UTC,17/06/2014, 12:32,72,50.0005,-144.9995,P26,Mid-ship,5,10.6767,32.3724,24.8124,59.7,6.55,285.4,1.107,
2014-18-0074.ctd,UTC,17/06/2014, 21:30,74,50.0005,-144.99916000000002,P26,Mid-ship,5,10.3259,32.376,24.8751,61.0,6.6,287.5,0.159,407.0
2014-18-0077.ctd,UTC,18/06/2014, 02:41,77,50.0,-144.99884,P26,Mid-ship,5,10.4295,32.389,24.8677,61.0,6.59,286.9,0.488,
2014-18-0078.ctd,UTC,18/06/2014, 07:17,78,49.999829999999996,-144.99916000000002,P26,Mid-ship,5,10.3885,32.3811,24.8685,60.9,6.6,287.4,0.8240000000000001,
2014-18-0083.ctd,UTC,19/06/2014, 11:37,83,50.00067,-144.9985,P26,Mid-ship,5,10.533,32.3897,24.8506,60.9,6.53,284.5,0.858,
2014-18-0072.ctd,UTC,17/06/2014, 12:32,72,50.0005,-144.9995,P26,Mid-ship,6,10.6766,32.3724,24.8124,59.6,6.56,285.7,1.14,
2014-18-0074.ctd,UTC,17/06/2014, 21:30,74,50.0005,-144.99916000000002,P26,Mid-ship,6,10.3258,32.376,24.8751,61.0,6.61,287.7,0.159,311.6
2014-18-0077.ctd,UTC,18/06/2014, 02:41,77,50.0,-144.99884,P26,Mid-ship,6,10.4295,32.3889,24.8676,61.0,6.59,287.1,0.535,
2014-18-0078.ctd,UTC,18/06/2014, 07:17,78,49.999829999999996,-144.99916000000002,P26,Mid-ship,6,10.3883,32.3814,24.8688,61.0,6.6,287.5,0.818,
2014-18-0083.ctd,UTC,19/06/2014, 11:37,83,50.00067,-144.9985,P26,Mid-ship,6,10.5336,32.3901,24.8508,60.9,6.54,284.8,0.8690000000000001,
2014-18-0072.ctd,UTC,17/06/2014, 12:32,72,50.0005,-144.9995,P26,Mid-ship,7,10.6761,32.3725,24.8126,59.7,6.57,286.2,1.123,
2014-18-0074.ctd,UTC,17/06/2014, 21:30,74,50.0005,-144.99916000000002,P26,Mid-ship,7,10.3257,32.3759,24.8751,61.0,6.6,287.5,0.159,246.9
2014-18-0077.ctd,UTC,18/06/2014, 02:41,77,50.0,-144.99884,P26,Mid-ship,7,10.4296,32.3891,24.8677,61.0,6.59,287.3,0.6829999999999999,
2014-18-0078.ctd,UTC,18/06/2014, 07:17,78,49.999829999999996,-144.99916000000002,P26,Mid-ship,7,10.3867,32.3814,24.869,61.0,6.6,287.6,0.816,
2014-18-0083.ctd,UTC,19/06/2014, 11:37,83,50.00067,-144.9985,P26,Mid-ship,7,10.5348,32.3905,24.8509,60.8,6.54,284.8,0.907,
2014-18-0072.ctd,UTC,17/06/2014, 12:32,72,50.0005,-144.9995,P26,Mid-ship,8,10.675999999999998,32.3724,24.8125,59.9,6.56,285.9,1.123,
2014-18-0074.ctd,UTC,17/06/2014, 21:30,74,50.0005,-144.99916000000002,P26,Mid-ship,8,10.3258,32.3758,24.875,60.9,6.59,287.2,0.17,202.5
2014-18-0077.ctd,UTC,18/06/2014, 02:41,77,50.0,-144.99884,P26,Mid-ship,8,10.4297,32.3891,24.8677,60.7,6.6,287.5,0.753,
2014-18-0078.ctd,UTC,18/06/2014, 07:17,78,49.999829999999996,-144.99916000000002,P26,Mid-ship,8,10.3876,32.3814,24.8689,60.9,6.6,287.5,0.816,
2014-18-0083.ctd,UTC,19/06/2014, 11:37,83,50.00067,-144.9985,P26,Mid-ship,8,10.5358,32.3904,24.8506,60.8,6.54,285.0,0.8370000000000001,
2014-18-0072.ctd,UTC,17/06/2014, 12:32,72,50.0005,-144.9995,P26,Mid-ship,9,10.675999999999998,32.3724,24.8125,59.5,6.56,285.9,1.129,
2014-18-0074.ctd,UTC,17/06/2014, 21:30,74,50.0005,-144.99916000000002,P26,Mid-ship,9,10.3258,32.376,24.8751,60.9,6.61,287.7,0.18100000000000002,167.8
2014-18-0077.ctd,UTC,18/06/2014, 02:41,77,50.0,-144.99884,P26,Mid-ship,9,10.4288,32.3894,24.8681,60.8,6.59,287.0,0.6409999999999999,
