File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2008-26-0067.ctd,UTC,09/06/2008, 03:55,67,50.001999999999995,-144.99867,P26,2.3,6.8471,32.6619,25.6235,45.4,7.28,317.0,0.828,
2008-26-0063.ctd,UTC,08/06/2008, 23:46,63,49.9995,-144.99933000000001,P26,2.5,6.9226,32.6607,25.6125,45.9,7.27,316.4,0.231,
2008-26-0063.ctd,UTC,08/06/2008, 23:46,63,49.9995,-144.99933000000001,P26,2.9,6.9137,32.6613,25.6142,46.6,7.27,316.4,0.23199999999999998,
2008-26-0067.ctd,UTC,09/06/2008, 03:55,67,50.001999999999995,-144.99867,P26,3.0,6.8491,32.662,25.6233,45.4,7.29,317.4,0.807,
2008-26-0069.ctd,UTC,09/06/2008, 13:30,69,50.00033,-145.0,P26,3.0,6.7895,32.6405,25.6142,49.8,7.18,312.7,0.674,
2008-26-0074.ctd,UTC,10/06/2008, 12:31,74,49.999829999999996,-144.99899,P26,3.2,7.0311,32.6624,25.5994,47.6,7.26,316.2,0.7070000000000001,
2008-26-0059.ctd,UTC,08/06/2008, 17:26,59,50.00067,-145.0,P26,3.3,6.4961,32.6647,25.6713,45.5,7.35,319.7,0.47600000000000003,
2008-26-0059.ctd,UTC,08/06/2008, 17:26,59,50.00067,-145.0,P26,4.0,6.4952,32.6653,25.6719,45.7,7.34,319.5,0.486,
2008-26-0062.ctd,UTC,08/06/2008, 22:26,62,50.00033,-144.99916000000002,P26,4.0,6.5893,32.664,25.6588,46.2,7.3,317.6,0.23199999999999998,712.7
2008-26-0063.ctd,UTC,08/06/2008, 23:46,63,49.9995,-144.99933000000001,P26,4.0,6.9222,32.6614,25.6132,47.1,7.31,318.1,0.23600000000000002,
2008-26-0067.ctd,UTC,09/06/2008, 03:55,67,50.001999999999995,-144.99867,P26,4.0,6.8558,32.6621,25.6225,45.4,7.31,318.3,0.805,
2008-26-0069.ctd,UTC,09/06/2008, 13:30,69,50.00033,-145.0,P26,4.0,6.7855,32.6403,25.6146,49.9,7.2,313.4,0.7090000000000001,
2008-26-0074.ctd,UTC,10/06/2008, 12:31,74,49.999829999999996,-144.99899,P26,4.0,7.0312,32.6626,25.5996,47.7,7.27,316.4,0.716,
2008-26-0074.ctd,UTC,10/06/2008, 12:31,74,49.999829999999996,-144.99899,P26,4.9,7.0308,32.6626,25.5996,48.2,7.27,316.4,0.7829999999999999,
2008-26-0059.ctd,UTC,08/06/2008, 17:26,59,50.00067,-145.0,P26,5.0,6.5155,32.6662,25.67,45.7,7.33,319.1,0.502,
2008-26-0062.ctd,UTC,08/06/2008, 22:26,62,50.00033,-144.99916000000002,P26,5.0,6.5378,32.6638,25.6653,45.8,7.3,317.7,0.256,639.9
2008-26-0063.ctd,UTC,08/06/2008, 23:46,63,49.9995,-144.99933000000001,P26,5.0,6.9219,32.6615,25.6133,47.3,7.34,319.3,0.23600000000000002,
2008-26-0067.ctd,UTC,09/06/2008, 03:55,67,50.001999999999995,-144.99867,P26,5.1,6.8521,32.6621,25.623,44.9,7.33,318.9,0.8140000000000001,
2008-26-0069.ctd,UTC,09/06/2008, 13:30,69,50.00033,-145.0,P26,5.1,6.7858,32.6401,25.6144,49.7,7.21,313.7,0.733,
2008-26-0069.ctd,UTC,09/06/2008, 13:30,69,50.00033,-145.0,P26,5.6,6.7843,32.6399,25.6144,49.8,7.21,313.7,0.72,
2008-26-0059.ctd,UTC,08/06/2008, 17:26,59,50.00067,-145.0,P26,6.0,6.5546,32.667,25.6656,45.8,7.34,319.3,0.522,
2008-26-0062.ctd,UTC,08/06/2008, 22:26,62,50.00033,-144.99916000000002,P26,6.0,6.5635,32.6647,25.6627,45.8,7.32,318.6,0.23199999999999998,530.7
2008-26-0063.ctd,UTC,08/06/2008, 23:46,63,49.9995,-144.99933000000001,P26,6.0,6.9171,32.6616,25.614,47.2,7.32,318.8,0.23,
2008-26-0067.ctd,UTC,09/06/2008, 03:55,67,50.001999999999995,-144.99867,P26,6.0,6.8341,32.6618,25.6251,44.9,7.33,318.9,0.833,
2008-26-0074.ctd,UTC,10/06/2008, 12:31,74,49.999829999999996,-144.99899,P26,6.0,7.0302,32.6629,25.5999,48.3,7.27,316.4,0.721,
2008-26-0059.ctd,UTC,08/06/2008, 17:26,59,50.00067,-145.0,P26,6.7,6.5645,32.6652,25.6629,45.9,7.35,319.7,0.527,
2008-26-0062.ctd,UTC,08/06/2008, 22:26,62,50.00033,-144.99916000000002,P26,6.8,6.5267,32.6638,25.6667,46.5,7.32,318.5,0.237,479.3
2008-26-0063.ctd,UTC,08/06/2008, 23:46,63,49.9995,-144.99933000000001,P26,7.0,6.9106,32.6614,25.6147,47.3,7.31,318.2,0.24100000000000002,
2008-26-0067.ctd,UTC,09/06/2008, 03:55,67,50.001999999999995,-144.99867,P26,7.0,6.7792,32.6615,25.6321,44.8,7.33,318.9,0.852,
2008-26-0074.ctd,UTC,10/06/2008, 12:31,74,49.999829999999996,-144.99899,P26,7.0,7.0306,32.663000000000004,25.5999,48.3,7.27,316.4,0.7490000000000001,
2008-26-0063.ctd,UTC,08/06/2008, 23:46,63,49.9995,-144.99933000000001,P26,8.0,6.9056,32.6615,25.6154,47.4,7.31,318.1,0.261,
2008-26-0067.ctd,UTC,09/06/2008, 03:55,67,50.001999999999995,-144.99867,P26,8.0,6.6862,32.6626,25.6451,44.7,7.33,319.1,0.907,
2008-26-0074.ctd,UTC,10/06/2008, 12:31,74,49.999829999999996,-144.99899,P26,8.0,7.03,32.6632,25.6002,48.4,7.27,316.3,0.757,
