File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,3.2,10.7837,30.6521,23.4551,24.9,7.02,306.2,5.393,650.5
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,4.0,10.5381,30.7344,23.5606,25.7,6.88,300.2,6.013,490.0
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,5.0,10.3477,30.789,23.6348,29.6,6.83,298.1,6.702999999999999,331.4
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,6.0,10.2594,30.811,23.6665,32.2,6.82,297.3,7.021,229.8
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,7.0,10.214,30.8227,23.6831,33.0,6.77,295.3,7.077999999999999,149.7
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,8.0,10.2007,30.8276,23.6891,33.3,6.69,291.8,6.995,104.9
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,9.0,10.1395,30.85,23.7166,34.3,6.49,283.2,6.877000000000001,77.3
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,10.0,10.086,30.8717,23.7423,35.8,6.05,263.7,6.277,56.7
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,11.0,10.0105,30.9003,23.7769,37.2,5.55,242.2,5.79,43.6
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,12.0,9.8474,30.9436,23.837,39.9,5.32,232.1,4.671,31.6
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,13.0,9.2924,31.0857,24.0356,46.1,5.28,230.3,4.061,23.3
2011-26-0001.ctd,UTC,04/06/2011, 16:16,1,48.574,-125.50166000000002,P1,Mid-ship,14.0,9.1522,31.1585,24.1142,48.8,5.24,228.5,3.638,17.2
