File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2017-08-0082.ctd,UTC,24-08-17, 22:11,82,50.00033,-145.0,P26,Mid-ship,1.5,13.204,32.3585,24.3333,42.9,6.2,270.1,1.723,
2017-08-0082.ctd,UTC,24-08-17, 22:11,82,50.00033,-145.0,P26,Mid-ship,1.8,13.2039,32.3586,24.3334,42.5,6.19,269.9,1.7890000000000001,
2017-08-0086.ctd,UTC,25-08-17, 05:16,86,49.99967,-144.99817,P26,Mid-ship,2.2,13.1683,32.3648,24.3453,42.6,6.18,269.2,3.6430000000000002,0.0
2017-08-0089.ctd,UTC,25-08-17, 08:44,89,49.998999999999995,-144.99767,P26,Mid-ship,2.2,13.1311,32.3718,24.358,42.8,6.17,268.9,4.012,1.0
2017-08-0088.ctd,UTC,25-08-17, 08:14,88,50.00117,-144.99899,P26,Mid-ship,2.5,13.128,32.3705,24.3576,42.8,6.18,269.3,4.101,0.9
2017-08-0082.ctd,UTC,24-08-17, 22:11,82,50.00033,-145.0,P26,Mid-ship,2.9,13.2041,32.3587,24.3335,42.8,6.18,269.5,1.6669999999999998,
2017-08-0086.ctd,UTC,25-08-17, 05:16,86,49.99967,-144.99817,P26,Mid-ship,2.9,13.1682,32.3649,24.3454,42.7,6.17,269.1,3.611,0.0
2017-08-0088.ctd,UTC,25-08-17, 08:14,88,50.00117,-144.99899,P26,Mid-ship,3.0,13.1283,32.3707,24.3577,42.7,6.18,269.4,4.074,0.8
2017-08-0089.ctd,UTC,25-08-17, 08:44,89,49.998999999999995,-144.99767,P26,Mid-ship,3.0,13.1313,32.3718,24.358,42.8,6.16,268.6,4.0089999999999995,0.8
2017-08-0080.ctd,UTC,24-08-17, 20:45,80,49.998000000000005,-144.998,P26,Mid-ship,3.2,13.1638,32.3624,24.3443,43.0,6.17,269.0,1.577,190.9
2017-08-0086.ctd,UTC,25-08-17, 05:16,86,49.99967,-144.99817,P26,Mid-ship,3.9,13.1686,32.3651,24.3454,42.6,6.17,268.9,3.622,0.0
