File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,3.2,11.0119,31.4992,24.0747,18.4,6.98,304.4,6.05,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,4.0,11.0107,31.4992,24.0749,21.5,6.98,304.2,6.0520000000000005,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,5.0,11.0097,31.4992,24.0751,21.6,6.98,304.5,6.062,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,5.9,11.0082,31.4994,24.0755,21.6,6.97,303.9,6.093,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,6.7,10.9999,31.5001,24.0775,21.7,6.96,303.3,6.098,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,8.1,10.9935,31.5006,24.079,21.9,6.96,303.4,6.001,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,9.0,10.997,31.5003,24.0782,21.8,6.97,303.9,5.9910000000000005,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,10.0,11.009,31.4993,24.0753,21.6,6.98,304.3,6.025,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,11.0,11.0086,31.4992,24.0753,21.6,6.98,304.1,6.062,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,12.1,11.0058,31.4996,24.0761,21.5,6.98,304.3,5.981,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,13.0,11.0016,31.5,24.0771,21.8,6.93,302.2,5.972,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,14.0,10.9925,31.5008,24.0793,21.9,6.94,302.7,5.977,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,15.0,10.9766,31.5019,24.083000000000002,22.2,6.96,303.5,5.921,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,16.0,10.9575,31.5028,24.087,22.4,6.98,304.2,5.843999999999999,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,17.0,10.9445,31.5034,24.0897,22.5,6.98,304.4,5.83,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,18.1,10.8979,31.5061,24.0999,22.6,6.91,301.3,5.722,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,19.2,10.785,31.5119,24.1239,24.0,6.43,280.5,5.4270000000000005,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,20.0,10.5675,31.5333,24.1777,26.0,6.26,272.8,4.9319999999999995,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,21.0,10.2202,31.5711,24.2654,30.2,6.1,265.8,4.111000000000001,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,22.0,9.8494,31.6169,24.362,36.7,5.96,259.9,3.2510000000000003,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,23.0,9.6377,31.6567,24.4272,41.2,5.84,254.3,2.563,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,24.0,9.5498,31.6799,24.4594,42.8,5.7,248.6,2.184,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,25.0,9.4675,31.7057,24.4926,43.7,5.58,243.2,2.006,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,26.0,9.3847,31.7461,24.5372,44.5,5.44,237.1,1.771,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,27.0,9.2445,31.8065,24.6065,45.8,5.3,231.0,1.5519999999999998,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,28.0,9.1512,31.837,24.6448,46.9,5.19,226.0,1.385,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,29.0,9.1044,31.8481,24.6608,47.5,5.15,224.3,1.34,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,30.0,9.0737,31.8568,24.6723,47.7,5.1,222.0,1.29,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,31.0,9.0412,31.8691,24.686999999999998,48.0,5.04,219.5,1.214,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,32.1,8.9041,31.93,24.7557,48.6,4.88,212.6,1.117,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,33.2,8.6226,32.0353,24.8808,49.1,4.55,198.2,0.877,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,34.0,8.55,32.0707,24.9194,51.1,4.47,194.6,0.773,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,35.0,8.5311,32.0962,24.9422,51.3,4.4,191.8,0.715,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,36.0,8.5051,32.1277,24.9707,51.4,4.36,189.7,0.6659999999999999,
2007-13-0003.ctd,UTC,01/06/2007, 09:01,3,48.57516,-125.4995,P1,37.0,8.4907,32.1429,24.9848,51.5,4.31,187.6,0.607,
