File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [%/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,5,9.3239,32.5268,25.156999999999996,51.8,6.82,297.1,2.55,8.2
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,5,9.3474,32.5268,25.1533,51.7,6.83,297.3,2.505,12.5
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,6,8.8079,32.5293,25.2395,53.1,6.81,296.5,2.0269999999999997,1.6
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,6,8.8056,32.53,25.2404,53.2,6.82,297.2,2.045,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,6,8.8067,32.5293,25.2397,53.3,6.81,296.5,2.05,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,6,8.8515,32.5296,25.2331,52.4,6.81,296.5,1.729,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,6,8.9028,32.5299,25.2254,52.2,6.82,297.1,1.827,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,6,9.0326,32.5304,25.2057,52.1,6.83,297.2,1.764,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,6,8.9543,32.528,25.2159,53.9,6.81,296.5,2.157,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,6,9.1599,32.5263,25.1826,51.1,6.83,297.5,2.322,67.4
2013-17-0092.ctd,UTC,18-06-13, 06:57,92,50.0005,-144.99983,P26,Mid-ship,6,9.1226,32.5273,25.1892,51.6,6.83,297.4,2.6710000000000003,
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,6,9.3184,32.5266,25.1578,51.9,6.82,296.9,2.5180000000000002,7.4
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,6,9.3463,32.5268,25.1535,51.6,6.82,297.0,2.557,11.2
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,7,8.8079,32.5292,25.2394,53.1,6.82,296.8,2.041,1.4
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,7,8.8057,32.5299,25.2403,53.2,6.83,297.4,2.02,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,7,8.8068,32.5293,25.2397,53.3,6.8,296.3,2.045,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,7,8.8516,32.5294,25.2329,52.3,6.8,296.3,1.74,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,7,8.8952,32.5298,25.2265,52.0,6.81,296.6,1.87,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,7,9.0324,32.5307,25.2059,52.0,6.83,297.3,1.806,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,7,8.9539,32.528,25.215999999999998,54.0,6.81,296.4,2.161,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,7,9.1614,32.5263,25.1823,51.1,6.83,297.3,2.3680000000000003,58.8
