File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2008-27-0073.ctd,UTC,21/08/2008, 05:39,73,49.99967,-145.00101,P26,1.1,11.3838,32.4901,24.7793,16.9,6.57,286.3,2.492,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,2.1,11.2233,32.4864,24.8052,27.9,6.72,292.6,2.066,404.5
2008-27-0073.ctd,UTC,21/08/2008, 05:39,73,49.99967,-145.00101,P26,2.2,11.376,32.4927,24.7827,26.6,6.57,286.2,2.5580000000000003,
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,2.2,11.2572,32.4854,24.7984,22.6,6.7,292.1,2.451,280.9
2008-27-0076.ctd,UTC,21/08/2008, 10:05,76,49.999829999999996,-144.99933000000001,P26,2.3,11.4438,32.4836,24.7634,24.8,6.64,289.2,4.282,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,2.3,11.2325,32.4855,24.8029,26.6,6.69,291.5,1.6580000000000001,
2008-27-0076.ctd,UTC,21/08/2008, 10:05,76,49.999829999999996,-144.99933000000001,P26,2.9,11.444,32.4833,24.7632,21.6,6.63,289.0,4.3,
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,2.9,11.2558,32.4868,24.7997,29.8,6.7,291.9,2.363,223.2
2008-27-0073.ctd,UTC,21/08/2008, 05:39,73,49.99967,-145.00101,P26,3.0,11.3739,32.4928,24.7832,33.0,6.58,286.7,2.499,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,3.0,11.2234,32.4866,24.8053,29.9,6.7,292.0,2.016,286.7
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,3.1,11.2306,32.4857,24.8034,32.8,6.67,290.5,1.517,
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,3.2,11.3596,32.4817,24.7771,31.1,6.62,288.5,2.843,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,3.4,11.3919,32.4903,24.778000000000002,27.6,6.57,286.4,2.431,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,3.9,11.232999999999999,32.4856,24.8028,33.6,6.67,290.6,1.617,
2008-27-0073.ctd,UTC,21/08/2008, 05:39,73,49.99967,-145.00101,P26,4.0,11.3722,32.4929,24.7836,36.3,6.58,286.6,2.454,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,4.0,11.3903,32.4905,24.7785,33.2,6.58,286.5,2.512,
2008-27-0076.ctd,UTC,21/08/2008, 10:05,76,49.999829999999996,-144.99933000000001,P26,4.0,11.4408,32.4845,24.7647,22.3,6.66,290.0,4.3389999999999995,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,4.0,11.2237,32.4868,24.8054,32.6,6.68,291.1,2.354,189.4
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,4.0,11.2561,32.4869,24.7997,32.6,6.7,292.1,2.388,156.0
2008-27-0072.ctd,UTC,21/08/2008, 01:30,72,50.0005,-144.99783,P26,4.1,11.3614,32.4914,24.7844,25.9,6.6,287.6,2.4,
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,4.1,11.3587,32.4821,24.7776,30.7,6.61,287.7,2.861,
2008-27-0072.ctd,UTC,21/08/2008, 01:30,72,50.0005,-144.99783,P26,5.0,11.3607,32.492,24.7849,28.4,6.62,288.4,2.438,
2008-27-0073.ctd,UTC,21/08/2008, 05:39,73,49.99967,-145.00101,P26,5.0,11.3702,32.4929,24.7839,36.8,6.56,285.9,2.4659999999999997,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,5.0,11.3866,32.4917,24.7801,37.0,6.57,286.3,2.499,
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,5.0,11.3586,32.4835,24.7787,28.0,6.59,287.1,2.79,
2008-27-0076.ctd,UTC,21/08/2008, 10:05,76,49.999829999999996,-144.99933000000001,P26,5.0,11.4392,32.4856,24.7658,25.9,6.68,291.0,4.284,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,5.0,11.2308,32.4858,24.8034,33.5,6.68,290.9,1.983,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,5.0,11.2241,32.4865,24.8051,32.5,6.69,291.5,2.585,149.2
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,5.0,11.2552,32.4871,24.8,32.6,6.71,292.4,2.5660000000000003,125.3
2008-27-0081.ctd,UTC,21/08/2008, 14:48,81,50.0005,-145.00101,P26,5.2,11.2548,32.4846,24.7982,34.7,6.56,285.9,3.485,
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,5.9,11.3588,32.4845,24.7795,29.9,6.59,287.0,2.87,
2008-27-0076.ctd,UTC,21/08/2008, 10:05,76,49.999829999999996,-144.99933000000001,P26,5.9,11.4374,32.486999999999995,24.7672,28.1,6.65,289.8,4.279,
2008-27-0072.ctd,UTC,21/08/2008, 01:30,72,50.0005,-144.99783,P26,6.0,11.3606,32.4923,24.7852,31.0,6.62,288.3,2.386,
2008-27-0073.ctd,UTC,21/08/2008, 05:39,73,49.99967,-145.00101,P26,6.0,11.3682,32.4929,24.7843,36.7,6.58,286.5,2.54,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,6.0,11.3863,32.4918,24.7802,37.1,6.57,286.2,2.5660000000000003,
2008-27-0081.ctd,UTC,21/08/2008, 14:48,81,50.0005,-145.00101,P26,6.0,11.2557,32.4844,24.7979,35.2,6.57,286.3,3.397,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,6.0,11.2263,32.486,24.8044,33.4,6.69,291.4,2.191,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,6.0,11.2179,32.4865,24.8062,32.6,6.7,291.9,3.072,128.6
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,6.0,11.2562,32.4869,24.7997,32.7,6.7,292.0,2.705,107.8
2008-27-0072.ctd,UTC,21/08/2008, 01:30,72,50.0005,-144.99783,P26,7.0,11.3611,32.4922,24.785,31.4,6.61,288.0,2.43,
2008-27-0073.ctd,UTC,21/08/2008, 05:39,73,49.99967,-145.00101,P26,7.0,11.3674,32.4926,24.7842,36.2,6.6,287.3,2.5810000000000004,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,7.0,11.386,32.492,24.7804,37.1,6.59,287.0,2.5810000000000004,
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,7.0,11.3567,32.488,24.7826,34.6,6.6,287.4,2.82,
2008-27-0076.ctd,UTC,21/08/2008, 10:05,76,49.999829999999996,-144.99933000000001,P26,7.0,11.4393,32.4864,24.7664,27.8,6.66,289.9,4.275,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,7.0,11.2206,32.486,24.8054,33.4,6.69,291.6,2.401,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,7.0,11.2173,32.4865,24.8063,31.1,6.69,291.4,3.135,111.2
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,7.0,11.2535,32.4871,24.8004,32.6,6.69,291.5,2.738,94.4
2008-27-0081.ctd,UTC,21/08/2008, 14:48,81,50.0005,-145.00101,P26,7.1,11.2545,32.4848,24.7984,35.5,6.54,284.9,3.387,
2008-27-0081.ctd,UTC,21/08/2008, 14:48,81,50.0005,-145.00101,P26,7.9,11.2535,32.4849,24.7986,35.5,6.55,285.2,3.389,
2008-27-0072.ctd,UTC,21/08/2008, 01:30,72,50.0005,-144.99783,P26,8.0,11.3603,32.4925,24.7854,33.2,6.62,288.3,2.573,
2008-27-0073.ctd,UTC,21/08/2008, 05:39,73,49.99967,-145.00101,P26,8.0,11.3607,32.4926,24.7854,36.8,6.58,286.7,2.471,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,8.0,11.3821,32.492,24.7811,37.2,6.6,287.7,2.5989999999999998,
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,8.0,11.3554,32.4902,24.7845,36.4,6.59,287.1,2.862,
2008-27-0076.ctd,UTC,21/08/2008, 10:05,76,49.999829999999996,-144.99933000000001,P26,8.0,11.4376,32.4869,24.7671,32.6,6.66,290.1,4.3069999999999995,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,8.0,11.2153,32.4859,24.8062,33.3,6.69,291.6,2.5839999999999996,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,8.0,11.2269,32.4862,24.8044,29.2,6.68,291.0,3.17,92.4
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,8.0,11.2395,32.4873,24.803,32.7,6.69,291.6,3.1039999999999996,79.6
2008-27-0072.ctd,UTC,21/08/2008, 01:30,72,50.0005,-144.99783,P26,9.0,11.3599,32.4926,24.7856,33.9,6.63,288.8,2.4930000000000003,
2008-27-0073.ctd,UTC,21/08/2008, 05:39,73,49.99967,-145.00101,P26,9.0,11.3516,32.4926,24.787,36.9,6.58,286.5,2.532,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,9.0,11.3748,32.4918,24.7823,37.1,6.6,287.5,2.6180000000000003,
2008-27-0076.ctd,UTC,21/08/2008, 10:05,76,49.999829999999996,-144.99933000000001,P26,9.0,11.4367,32.4884,24.7685,32.7,6.67,290.7,4.263999999999999,
2008-27-0081.ctd,UTC,21/08/2008, 14:48,81,50.0005,-145.00101,P26,9.0,11.2515,32.4855,24.7995,35.5,6.55,285.6,3.355,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,9.0,11.2044,32.4861,24.8083,33.1,6.7,291.8,2.824,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,9.0,11.2265,32.4864,24.8046,30.3,6.68,291.2,3.177,76.7
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,9.0,11.2362,32.4874,24.8037,32.7,6.69,291.6,3.303,66.6
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,9.1,11.3555,32.4898,24.7842,36.7,6.6,287.7,2.885,
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,9.9,11.3552,32.49,24.7844,36.8,6.61,288.1,2.8989999999999996,
2008-27-0076.ctd,UTC,21/08/2008, 10:05,76,49.999829999999996,-144.99933000000001,P26,9.9,11.437999999999999,32.4907,24.77,32.5,6.67,290.8,4.467,
2008-27-0072.ctd,UTC,21/08/2008, 01:30,72,50.0005,-144.99783,P26,10.0,11.3597,32.4928,24.7857,34.0,6.63,288.7,2.5839999999999996,
2008-27-0073.ctd,UTC,21/08/2008, 05:39,73,49.99967,-145.00101,P26,10.0,11.3377,32.4929,24.7898,37.0,6.57,286.3,2.509,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,10.0,11.3683,32.4917,24.7833,36.9,6.6,287.7,2.589,
2008-27-0081.ctd,UTC,21/08/2008, 14:48,81,50.0005,-145.00101,P26,10.0,11.2498,32.4858,24.8,35.6,6.58,286.5,3.4160000000000004,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,10.0,11.1776,32.4864,24.8133,33.0,6.7,291.7,3.0189999999999997,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,10.0,11.2054,32.4868,24.8087,32.6,6.69,291.5,3.435,64.7
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,10.0,11.2388,32.4873,24.8031,32.7,6.7,291.9,3.411,55.2
2008-27-0076.ctd,UTC,21/08/2008, 10:05,76,49.999829999999996,-144.99933000000001,P26,10.7,11.4322,32.4915,24.7717,31.9,6.66,290.4,4.518,
2008-27-0081.ctd,UTC,21/08/2008, 14:48,81,50.0005,-145.00101,P26,10.8,11.2514,32.4858,24.7997,35.5,6.59,287.2,3.405,
2008-27-0073.ctd,UTC,21/08/2008, 05:39,73,49.99967,-145.00101,P26,10.9,11.3271,32.4927,24.7915,37.0,6.57,286.3,2.56,
2008-27-0072.ctd,UTC,21/08/2008, 01:30,72,50.0005,-144.99783,P26,11.0,11.3533,32.4929,24.787,34.4,6.62,288.5,2.627,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,11.0,11.3539,32.4919,24.7861,37.0,6.6,287.4,2.575,
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,11.0,11.3545,32.4905,24.7849,36.6,6.63,288.7,2.926,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,11.0,11.172,32.4863,24.8143,33.0,6.69,291.3,3.2310000000000003,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,11.0,11.1916,32.4868,24.8112,32.8,6.7,291.7,3.682,54.3
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,11.0,11.2277,32.4877,24.8054,33.1,6.7,292.0,3.57,47.1
2008-27-0072.ctd,UTC,21/08/2008, 01:30,72,50.0005,-144.99783,P26,12.0,11.3412,32.4932,24.7894,34.7,6.63,288.7,2.8480000000000003,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,12.0,11.3284,32.4916,24.7904,36.9,6.59,287.2,2.7,
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,12.0,11.3527,32.4907,24.7854,36.7,6.62,288.3,2.9930000000000003,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,12.0,11.1656,32.4865,24.8156,33.1,6.68,291.1,3.3789999999999996,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,12.0,11.2018,32.4866,24.8092,32.8,6.7,291.7,3.72,45.7
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,12.0,11.2251,32.4876,24.8058,33.1,6.69,291.6,3.715,41.5
2008-27-0072.ctd,UTC,21/08/2008, 01:30,72,50.0005,-144.99783,P26,13.0,11.302,32.4932,24.7964,34.4,6.61,288.2,3.074,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,13.0,11.3155,32.4917,24.7928,37.0,6.59,287.3,2.7119999999999997,
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,13.0,11.3496,32.4908,24.785999999999998,36.6,6.6,287.7,2.9930000000000003,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,13.0,11.1613,32.4868,24.8166,33.0,6.66,290.3,3.6069999999999998,
2008-27-0086.ctd,UTC,21/08/2008, 23:00,86,49.999829999999996,-144.99966,P26,13.0,11.2006,32.4867,24.8095,32.8,6.69,291.4,3.792,39.0
2008-27-0087.ctd,UTC,22/08/2008, 00:56,87,49.999829999999996,-145.00066999999999,P26,13.0,11.2334,32.4874,24.8042,32.9,6.69,291.6,3.7880000000000003,36.2
2008-27-0072.ctd,UTC,21/08/2008, 01:30,72,50.0005,-144.99783,P26,14.0,11.2675,32.4929,24.8024,34.3,6.61,288.0,3.252,
2008-27-0074.ctd,UTC,21/08/2008, 06:18,74,50.00134,-145.00166000000002,P26,14.0,11.2905,32.4913,24.796999999999997,37.0,6.6,287.4,2.8,
2008-27-0075.ctd,UTC,21/08/2008, 07:49,75,50.000170000000004,-145.0,P26,14.0,11.344000000000001,32.4909,24.7871,36.3,6.59,287.2,3.028,
2008-27-0085.ctd,UTC,21/08/2008, 20:39,85,50.0,-144.99966,P26,14.0,11.1582,32.4869,24.8172,33.1,6.65,289.6,3.667,
