File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [%/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,3,12.0342,30.2748,22.9419,23.9,6.28,274.1,2.002,248.8
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,4,11.9684,30.3011,22.9743,23.9,6.22,271.4,2.1790000000000003,223.9
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,5,11.5213,30.5619,23.2568,23.9,6.18,269.8,2.699,160.6
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,6,11.2618,30.7515,23.4498,24.4,5.96,259.9,3.068,115.5
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,7,11.1533,30.8344,23.5332,24.7,5.7,248.7,3.178,91.5
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,8,11.0663,30.9048,23.6031,25.2,5.57,242.9,3.0669999999999997,57.9
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,9,10.6893,31.1593,23.8658,25.7,5.49,239.4,3.03,35.6
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,10,10.2927,31.3663,24.0937,28.5,5.37,233.9,2.875,22.6
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,11,10.193,31.4076,24.1425,30.5,5.28,230.0,2.8310000000000004,15.0
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,12,10.0475,31.4596,24.206999999999997,31.7,5.24,228.5,2.6660000000000004,9.7
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,13,9.8742,31.5165,24.2796,34.2,5.19,226.3,2.5269999999999997,7.1
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,14,9.8451,31.5268,24.2924,35.2,4.94,215.4,2.423,5.9
2013-17-0002.ctd,UTC,08-06-13, 18:15,2,48.574329999999996,-125.50333,P1,Mid-ship,15,9.828,31.5335,24.3004,35.4,4.5,196.0,2.412,6.0
