File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2007-01-0067.ctd,UTC,15/02/2007, 16:49,67,49.99933,-145.00017,P26,2.9,5.6577,32.5799,25.7076,44.8,6.97,303.5,0.6409999999999999,7.7
2007-01-0068.ctd,UTC,15/02/2007, 17:55,68,49.9995,-144.99933000000001,P26,3.3,5.6509,32.5806,25.7089,45.2,6.99,304.3,0.58,
2007-01-0067.ctd,UTC,15/02/2007, 16:49,67,49.99933,-145.00017,P26,3.7,5.6578,32.5801,25.7077,45.3,6.97,303.6,0.65,6.5
2007-01-0068.ctd,UTC,15/02/2007, 17:55,68,49.9995,-144.99933000000001,P26,4.0,5.6499,32.5812,25.7095,51.7,6.99,304.2,0.568,
2007-01-0072.ctd,UTC,16/02/2007, 03:02,72,49.999829999999996,-144.99899,P26,4.3,5.6811,32.5771,25.7026,47.3,6.99,304.1,0.66,3.6
2007-01-0068.ctd,UTC,15/02/2007, 17:55,68,49.9995,-144.99933000000001,P26,4.6,5.6499,32.5812,25.7095,52.4,6.99,304.2,0.605,
2007-01-0072.ctd,UTC,16/02/2007, 03:02,72,49.999829999999996,-144.99899,P26,5.0,5.6814,32.5769,25.7024,44.4,6.99,304.2,0.616,3.7
2007-01-0067.ctd,UTC,15/02/2007, 16:49,67,49.99933,-145.00017,P26,5.1,5.6547,32.5804,25.7083,52.6,6.97,303.5,0.65,3.8
2007-01-0069.ctd,UTC,15/02/2007, 22:14,69,50.000170000000004,-145.00017,P26,5.2,5.6739999999999995,32.5755,25.7022,49.0,6.98,303.6,0.22899999999999998,133.0
2007-01-0067.ctd,UTC,15/02/2007, 16:49,67,49.99933,-145.00017,P26,6.0,5.6558,32.5803,25.7081,52.2,6.97,303.5,0.644,3.2
2007-01-0068.ctd,UTC,15/02/2007, 17:55,68,49.9995,-144.99933000000001,P26,6.0,5.6506,32.5811,25.7094,51.9,6.99,304.2,0.588,
2007-01-0069.ctd,UTC,15/02/2007, 22:14,69,50.000170000000004,-145.00017,P26,6.0,5.6744,32.5765,25.7029,49.8,6.98,303.8,0.209,187.3
2007-01-0072.ctd,UTC,16/02/2007, 03:02,72,49.999829999999996,-144.99899,P26,6.0,5.6815,32.577,25.7025,47.0,6.99,304.1,0.642,3.3
