File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,3.0,11.3752,31.1661,23.752,24.8,6.73,293.6,4.323,691.2
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,3.5,11.3747,31.166,23.752,24.8,6.74,293.9,4.496,530.9
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,5.4,11.372,31.1683,23.7543,24.8,6.76,294.7,5.436,269.2
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,6.0,11.3573,31.1699,23.7581,24.7,6.74,294.1,5.986000000000001,219.2
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,7.0,11.3534,31.1705,23.7593,24.8,6.7,292.3,6.336,158.1
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,8.0,11.3107,31.1796,23.7739,25.6,6.66,290.2,6.325,123.4
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,9.0,11.2937,31.1839,23.7802,25.7,6.56,286.1,6.686,90.4
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,10.0,11.2077,31.2144,23.8191,27.0,6.42,280.1,6.395,56.3
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,11.0,11.0757,31.3625,23.9573,29.6,6.4,279.2,6.017,37.6
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,12.0,11.0473,31.6853,24.2133,29.0,6.53,284.5,7.107,28.5
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,13.0,10.9968,31.7473,24.2703,25.8,6.59,287.2,7.835,21.3
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,14.0,10.9881,31.7632,24.2842,25.0,6.65,289.8,8.648,15.1
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,15.0,10.9621,31.7876,24.3077,24.0,6.66,290.2,9.543,11.0
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,16.0,10.8915,31.8477,24.3668,22.3,6.4,278.9,10.460999999999999,7.8
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,17.0,10.6569,31.8897,24.4399,24.2,6.02,262.2,10.737,5.2
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,18.0,10.4544,31.965,24.5331,27.9,5.57,242.8,9.487,3.3
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,19.0,9.8687,32.1758,24.795,30.6,5.19,226.2,8.329,2.2
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,20.0,9.2975,32.2334,24.9319,41.4,4.96,215.8,5.653,1.6
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,21.0,9.2481,32.2495,24.9522,45.4,4.8,209.2,4.441,1.2
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,22.0,9.2269,32.3073,25.0008,47.8,4.72,205.4,3.623,1.1
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,23.0,9.222999999999999,32.4757,25.1331,50.4,4.65,202.5,2.965,1.0
2016-06-0009.ctd,UTC,06-06-16, 18:37,9,48.57516,-125.50017,P1,Mid-ship,24.0,9.2037,32.4909,25.148000000000003,51.2,4.59,199.8,2.185,0.9
